gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/11/15 00:00:01.237, 210.27 W, 69, 99 %, 28531 MiB
1, 2023/11/15 00:00:01.252, 207.20 W, 68, 99 %, 26244 MiB
0, 2023/11/15 00:01:01.261, 59.51 W, 69, 100 %, 28531 MiB
1, 2023/11/15 00:01:01.266, 54.17 W, 66, 0 %, 26244 MiB
0, 2023/11/15 00:02:01.270, 40.83 W, 65, 0 %, 28531 MiB
1, 2023/11/15 00:02:01.273, 55.53 W, 65, 100 %, 26244 MiB
0, 2023/11/15 00:03:01.277, 184.43 W, 69, 100 %, 28531 MiB
1, 2023/11/15 00:03:01.285, 157.77 W, 68, 99 %, 26244 MiB
0, 2023/11/15 00:04:01.295, 55.54 W, 65, 0 %, 28563 MiB
1, 2023/11/15 00:04:01.298, 55.34 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:05:01.304, 131.00 W, 71, 100 %, 28563 MiB
1, 2023/11/15 00:05:01.314, 108.08 W, 68, 100 %, 26244 MiB
0, 2023/11/15 00:06:01.322, 56.97 W, 68, 74 %, 28531 MiB
1, 2023/11/15 00:06:01.326, 194.30 W, 68, 100 %, 26244 MiB
0, 2023/11/15 00:07:01.331, 58.03 W, 67, 99 %, 28531 MiB
1, 2023/11/15 00:07:01.338, 206.12 W, 65, 37 %, 26244 MiB
0, 2023/11/15 00:08:01.357, 54.99 W, 65, 0 %, 28531 MiB
1, 2023/11/15 00:08:01.360, 52.60 W, 63, 0 %, 26244 MiB
0, 2023/11/15 00:09:01.366, 54.76 W, 65, 0 %, 28531 MiB
1, 2023/11/15 00:09:01.369, 204.07 W, 65, 99 %, 26244 MiB
0, 2023/11/15 00:10:01.375, 55.16 W, 66, 100 %, 28531 MiB
1, 2023/11/15 00:10:01.381, 53.40 W, 64, 0 %, 26244 MiB
0, 2023/11/15 00:11:01.384, 135.01 W, 66, 100 %, 28531 MiB
1, 2023/11/15 00:11:01.388, 195.36 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:12:01.403, 39.98 W, 64, 0 %, 28531 MiB
1, 2023/11/15 00:12:01.406, 54.85 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:13:01.409, 196.41 W, 69, 96 %, 28563 MiB
1, 2023/11/15 00:13:01.412, 196.27 W, 67, 98 %, 26244 MiB
0, 2023/11/15 00:14:01.420, 52.55 W, 65, 0 %, 28563 MiB
1, 2023/11/15 00:14:01.427, 55.24 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:15:01.430, 168.25 W, 68, 100 %, 28563 MiB
1, 2023/11/15 00:15:01.434, 105.84 W, 66, 100 %, 26244 MiB
0, 2023/11/15 00:16:01.439, 40.65 W, 64, 0 %, 28563 MiB
1, 2023/11/15 00:16:01.444, 55.04 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:17:01.449, 56.01 W, 66, 0 %, 28563 MiB
1, 2023/11/15 00:17:01.452, 161.93 W, 68, 99 %, 26244 MiB
0, 2023/11/15 00:18:01.457, 207.26 W, 70, 100 %, 28531 MiB
1, 2023/11/15 00:18:01.461, 201.71 W, 69, 99 %, 26244 MiB
0, 2023/11/15 00:19:01.464, 57.97 W, 67, 100 %, 28563 MiB
1, 2023/11/15 00:19:01.467, 53.49 W, 64, 0 %, 26244 MiB
0, 2023/11/15 00:20:01.473, 41.22 W, 66, 0 %, 28563 MiB
1, 2023/11/15 00:20:01.476, 55.24 W, 65, 100 %, 26244 MiB
0, 2023/11/15 00:21:01.479, 174.71 W, 68, 99 %, 28563 MiB
1, 2023/11/15 00:21:01.483, 182.14 W, 66, 99 %, 26244 MiB
0, 2023/11/15 00:22:01.495, 55.25 W, 65, 0 %, 28563 MiB
1, 2023/11/15 00:22:01.498, 54.75 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:23:01.502, 57.88 W, 66, 100 %, 28563 MiB
1, 2023/11/15 00:23:01.505, 53.21 W, 64, 0 %, 26244 MiB
0, 2023/11/15 00:24:01.509, 164.27 W, 70, 99 %, 28531 MiB
1, 2023/11/15 00:24:01.520, 160.47 W, 67, 100 %, 26244 MiB
0, 2023/11/15 00:25:01.537, 184.83 W, 69, 100 %, 28531 MiB
1, 2023/11/15 00:25:01.540, 56.67 W, 65, 100 %, 26244 MiB
0, 2023/11/15 00:26:01.544, 57.68 W, 66, 100 %, 28531 MiB
1, 2023/11/15 00:26:01.547, 38.67 W, 63, 0 %, 26244 MiB
0, 2023/11/15 00:27:01.552, 205.25 W, 70, 94 %, 28563 MiB
1, 2023/11/15 00:27:01.555, 194.69 W, 66, 98 %, 26244 MiB
0, 2023/11/15 00:28:01.568, 56.03 W, 66, 0 %, 28563 MiB
1, 2023/11/15 00:28:01.571, 55.33 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:29:01.575, 57.88 W, 66, 100 %, 28563 MiB
1, 2023/11/15 00:29:01.579, 52.80 W, 63, 0 %, 26244 MiB
0, 2023/11/15 00:30:01.586, 55.54 W, 67, 100 %, 28563 MiB
1, 2023/11/15 00:30:01.589, 39.16 W, 64, 0 %, 26244 MiB
0, 2023/11/15 00:31:01.593, 58.17 W, 67, 100 %, 28531 MiB
1, 2023/11/15 00:31:01.596, 38.77 W, 64, 0 %, 26244 MiB
0, 2023/11/15 00:32:01.599, 40.94 W, 65, 0 %, 28563 MiB
1, 2023/11/15 00:32:01.603, 54.67 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:33:01.608, 56.03 W, 66, 0 %, 28563 MiB
1, 2023/11/15 00:33:01.612, 55.52 W, 65, 100 %, 26244 MiB
0, 2023/11/15 00:34:01.615, 191.09 W, 68, 100 %, 28563 MiB
1, 2023/11/15 00:34:01.621, 164.79 W, 65, 100 %, 26244 MiB
0, 2023/11/15 00:35:01.635, 55.54 W, 66, 0 %, 28563 MiB
1, 2023/11/15 00:35:01.639, 55.14 W, 64, 100 %, 26244 MiB
0, 2023/11/15 00:36:01.642, 40.95 W, 66, 0 %, 28531 MiB
1, 2023/11/15 00:36:01.645, 39.46 W, 64, 0 %, 26244 MiB
0, 2023/11/15 00:37:01.648, 180.89 W, 68, 99 %, 28531 MiB
