index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/18 11:49:55.209, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 11:49:55.217, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 11:50:55.221, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 11:50:55.224, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 11:51:55.228, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 11:51:55.231, 23.94 W, 43, 0 %, 6 MiB
0, 2023/03/18 11:52:55.237, 24.94 W, 44, 0 %, 523 MiB
1, 2023/03/18 11:52:55.258, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 11:53:55.268, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 11:53:55.272, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:45:39.213, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:45:39.216, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:46:39.242, 24.85 W, 45, 0 %, 523 MiB
1, 2023/03/18 21:46:39.247, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:47:39.267, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:47:39.273, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:48:39.286, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:48:39.305, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:49:39.322, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:49:39.326, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:50:39.334, 24.66 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:50:39.339, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:51:39.359, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:51:39.371, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:52:39.389, 24.94 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:52:39.407, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:53:39.428, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:53:39.440, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:54:39.461, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:54:39.471, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:55:39.476, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:55:39.498, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:56:39.508, 24.84 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:56:39.529, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:57:39.552, 24.84 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:57:39.568, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:58:39.587, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:58:39.605, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 21:59:39.623, 24.77 W, 44, 0 %, 523 MiB
1, 2023/03/18 21:59:39.626, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:00:39.640, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:00:39.645, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:01:39.672, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:01:39.676, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:02:39.686, 24.95 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:02:39.690, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:03:39.713, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:03:39.723, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:04:39.747, 24.67 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:04:39.750, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:05:39.754, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:05:39.767, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:06:39.772, 24.67 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:06:39.776, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:07:39.781, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:07:39.785, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:08:39.790, 24.66 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:08:39.798, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:09:39.822, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:09:39.829, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:10:39.849, 24.94 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:10:39.871, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:11:39.889, 24.67 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:11:39.893, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:12:39.901, 24.86 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:12:39.904, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:13:39.918, 24.76 W, 45, 0 %, 523 MiB
1, 2023/03/18 22:13:39.929, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:14:39.952, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:14:39.955, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:15:39.976, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:15:39.979, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:16:39.992, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:16:40.018, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:17:40.034, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:17:40.053, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:18:40.067, 24.84 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:18:40.092, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:19:40.106, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:19:40.109, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:20:40.114, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:20:40.124, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:21:40.133, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:21:40.149, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:22:40.158, 24.66 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:22:40.174, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:23:40.198, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:23:40.201, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:24:40.217, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:24:40.235, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:25:40.264, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:25:40.280, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:26:40.292, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:26:40.316, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:27:40.324, 24.84 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:27:40.350, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:28:40.358, 24.66 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:28:40.362, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:29:40.370, 24.75 W, 45, 0 %, 523 MiB
1, 2023/03/18 22:29:40.390, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:30:40.402, 24.94 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:30:40.423, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:31:40.430, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:31:40.433, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:32:40.437, 24.84 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:32:40.462, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:33:40.468, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:33:40.471, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:34:40.478, 24.66 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:34:40.481, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:35:40.485, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:35:40.501, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:36:40.507, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:36:40.528, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:37:40.556, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:37:40.573, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:38:40.600, 24.85 W, 45, 0 %, 523 MiB
1, 2023/03/18 22:38:40.617, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:39:40.637, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:39:40.656, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:40:40.667, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:40:40.671, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:41:40.675, 24.84 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:41:40.696, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:42:40.708, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:42:40.718, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:43:40.732, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:43:40.742, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:44:40.762, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:44:40.769, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:45:40.775, 24.95 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:45:40.783, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:46:40.797, 24.95 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:46:40.806, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:47:40.814, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:47:40.817, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:48:40.821, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:48:40.831, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:49:40.839, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:49:40.842, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:50:40.847, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:50:40.850, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:51:40.855, 24.94 W, 45, 0 %, 523 MiB
1, 2023/03/18 22:51:40.877, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:52:40.883, 24.75 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:52:40.907, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:53:40.912, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:53:40.931, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:54:40.942, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:54:40.951, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:55:40.957, 24.94 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:55:40.984, 24.04 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:56:40.990, 24.95 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:56:40.993, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:57:40.997, 24.85 W, 45, 0 %, 523 MiB
1, 2023/03/18 22:57:41.017, 24.14 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:58:41.022, 24.65 W, 45, 0 %, 523 MiB
1, 2023/03/18 22:58:41.046, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 22:59:41.073, 24.85 W, 44, 0 %, 523 MiB
1, 2023/03/18 22:59:41.087, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 23:00:41.093, 24.94 W, 44, 0 %, 523 MiB
1, 2023/03/18 23:00:41.119, 24.24 W, 43, 0 %, 6 MiB
0, 2023/03/18 23:01:41.125, 24.76 W, 44, 0 %, 523 MiB
1, 2023/03/18 23:01:41.128, 24.24 W, 43, 0 %, 6 MiB
