index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/19 00:00:03.133, 33.00 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:01:03.134, 33.42 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:02:03.136, 33.17 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:03:03.137, 33.42 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:04:03.138, 33.00 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:05:03.140, 33.37 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:06:03.141, 32.91 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:07:03.143, 32.99 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:08:03.145, 33.01 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:09:03.147, 33.26 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:10:03.149, 32.69 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:11:03.151, 33.13 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:12:03.153, 33.27 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:13:03.155, 33.14 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:14:03.155, 33.40 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:15:03.156, 33.46 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:16:03.157, 33.31 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:17:03.159, 33.59 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:18:03.160, 33.52 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:19:03.161, 33.64 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:20:03.163, 33.74 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:21:03.164, 33.67 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:22:03.166, 33.41 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:23:03.168, 33.40 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:24:03.170, 33.33 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:25:03.171, 33.43 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:26:03.173, 33.49 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:27:03.175, 33.76 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:28:03.177, 33.66 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:29:03.179, 33.90 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:30:03.181, 33.65 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:31:03.182, 33.49 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:32:03.183, 33.76 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:33:03.184, 34.03 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:34:03.185, 33.71 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:35:03.187, 33.73 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:36:03.188, 33.38 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:37:03.190, 33.57 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:38:03.191, 33.42 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:39:03.193, 33.00 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:40:03.195, 33.43 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:41:03.197, 33.12 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:42:03.199, 33.05 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:43:03.201, 33.16 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:44:03.203, 33.36 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:45:03.205, 33.72 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:46:03.207, 32.94 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:47:03.208, 33.54 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:48:03.209, 33.39 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:49:03.210, 33.61 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:50:03.211, 33.67 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:51:03.212, 33.21 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:52:03.214, 32.72 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:53:03.215, 32.59 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:54:03.217, 32.84 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:55:03.219, 32.73 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:56:03.221, 33.01 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:57:03.222, 33.21 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:58:03.224, 32.88 W, 28, 0 %, 1 MiB
0, 2023/03/19 00:59:03.226, 33.12 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:00:03.229, 33.16 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:01:03.231, 33.26 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:02:03.233, 33.54 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:03:03.235, 33.04 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:04:03.236, 33.37 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:05:03.237, 32.78 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:06:03.238, 33.39 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:07:03.239, 32.76 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:08:03.240, 33.26 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:09:03.242, 33.19 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:10:03.243, 33.47 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:11:03.245, 32.53 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:12:03.246, 33.10 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:13:03.248, 32.66 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:14:03.250, 33.14 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:15:03.252, 33.03 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:16:03.254, 33.15 W, 28, 0 %, 1 MiB
0, 2023/03/19 01:17:03.256, 33.01 W, 28, 0 %, 1 MiB
