gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/06/18 00:00:01.418, 75.01 W, 56, 60 %, 691 MiB
1, 2024/06/18 00:00:01.419, 1.22 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:01:01.421, 74.72 W, 56, 60 %, 691 MiB
1, 2024/06/18 00:01:01.423, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:02:01.425, 74.82 W, 56, 63 %, 1365 MiB
1, 2024/06/18 00:02:01.425, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:03:01.426, 74.72 W, 56, 67 %, 1377 MiB
1, 2024/06/18 00:03:01.427, 1.22 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:04:01.429, 77.68 W, 56, 52 %, 1377 MiB
1, 2024/06/18 00:04:01.430, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:05:01.432, 74.34 W, 56, 61 %, 1377 MiB
1, 2024/06/18 00:05:01.432, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:06:01.433, 75.20 W, 56, 67 %, 1377 MiB
1, 2024/06/18 00:06:01.436, 1.25 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:07:01.437, 73.39 W, 56, 58 %, 1377 MiB
1, 2024/06/18 00:07:01.438, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:08:01.440, 75.30 W, 56, 63 %, 1377 MiB
1, 2024/06/18 00:08:01.441, 1.22 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:09:01.443, 74.15 W, 56, 73 %, 1377 MiB
1, 2024/06/18 00:09:01.443, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:10:01.445, 75.58 W, 56, 74 %, 1377 MiB
1, 2024/06/18 00:10:01.446, 1.22 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:11:01.448, 75.01 W, 56, 51 %, 1377 MiB
1, 2024/06/18 00:11:01.448, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:12:01.450, 75.58 W, 56, 69 %, 693 MiB
1, 2024/06/18 00:12:01.451, 1.22 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:13:01.452, 74.72 W, 56, 63 %, 693 MiB
1, 2024/06/18 00:13:01.453, 1.21 W, 39, 0 %, 24 MiB
0, 2024/06/18 00:14:01.454, 74.82 W, 56, 66 %, 693 MiB
