gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/05/31 00:00:01.456, 21.93 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:00:01.457, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:01:01.459, 21.84 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:01:01.461, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:02:01.462, 21.84 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:02:01.463, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:03:01.465, 21.84 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:03:01.466, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:04:01.468, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:04:01.469, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:05:01.471, 22.13 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:05:01.472, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:06:01.474, 21.84 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:06:01.479, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:07:01.481, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:07:01.482, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:08:01.484, 22.04 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:08:01.485, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:09:01.487, 22.04 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:09:01.488, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:10:01.490, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:10:01.491, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:11:01.493, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:11:01.494, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:12:01.496, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:12:01.497, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:13:01.498, 22.04 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:13:01.500, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:14:01.501, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:14:01.502, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:15:01.504, 21.84 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:15:01.505, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:16:01.507, 22.04 W, 31, 0 %, 5 MiB
1, 2024/05/31 00:16:01.508, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:17:01.510, 22.13 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:17:01.511, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:18:01.513, 21.94 W, 31, 0 %, 5 MiB
1, 2024/05/31 00:18:01.514, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:19:01.516, 22.13 W, 31, 0 %, 5 MiB
1, 2024/05/31 00:19:01.517, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:20:01.518, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:20:01.519, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:21:01.521, 22.04 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:21:01.522, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:22:01.524, 22.04 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:22:01.525, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:23:01.527, 22.04 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:23:01.528, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:24:01.530, 21.84 W, 31, 0 %, 5 MiB
1, 2024/05/31 00:24:01.531, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:25:01.532, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:25:01.534, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:26:01.535, 22.13 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:26:01.536, 1.15 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:27:01.538, 21.94 W, 32, 0 %, 5 MiB
1, 2024/05/31 00:27:01.539, 1.14 W, 37, 0 %, 21 MiB
0, 2024/05/31 00:28:01.541, 21.94 W, 32, 0 %, 5 MiB
