gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/12/21 00:00:01.183, 258.93 W, 86, 100 %, 46341 MiB
1, 2023/12/21 00:00:01.185, 279.66 W, 87, 100 %, 46970 MiB
0, 2023/12/21 00:01:01.188, 270.96 W, 88, 84 %, 46341 MiB
1, 2023/12/21 00:01:01.188, 249.49 W, 84, 100 %, 46970 MiB
0, 2023/12/21 00:02:01.189, 223.72 W, 86, 100 %, 46341 MiB
1, 2023/12/21 00:02:01.189, 289.14 W, 84, 100 %, 46970 MiB
0, 2023/12/21 00:03:01.190, 213.56 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:03:01.190, 275.73 W, 83, 98 %, 46970 MiB
0, 2023/12/21 00:04:01.191, 218.31 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:04:01.191, 231.85 W, 86, 26 %, 46970 MiB
0, 2023/12/21 00:05:01.192, 166.31 W, 84, 0 %, 46341 MiB
1, 2023/12/21 00:05:01.192, 137.75 W, 82, 0 %, 46970 MiB
0, 2023/12/21 00:06:01.193, 193.74 W, 87, 95 %, 46341 MiB
1, 2023/12/21 00:06:01.194, 166.94 W, 85, 93 %, 46970 MiB
0, 2023/12/21 00:07:01.194, 190.32 W, 87, 98 %, 46341 MiB
1, 2023/12/21 00:07:01.195, 157.20 W, 84, 50 %, 46970 MiB
0, 2023/12/21 00:08:01.196, 267.93 W, 86, 100 %, 46341 MiB
1, 2023/12/21 00:08:01.196, 251.76 W, 83, 75 %, 46970 MiB
0, 2023/12/21 00:09:01.197, 184.37 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:09:01.197, 216.73 W, 86, 92 %, 46970 MiB
0, 2023/12/21 00:10:01.198, 256.22 W, 87, 32 %, 46341 MiB
1, 2023/12/21 00:10:01.198, 264.02 W, 85, 98 %, 46970 MiB
0, 2023/12/21 00:11:01.199, 244.35 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:11:01.199, 272.31 W, 85, 100 %, 46970 MiB
0, 2023/12/21 00:12:01.200, 235.01 W, 85, 100 %, 46341 MiB
1, 2023/12/21 00:12:01.200, 247.37 W, 86, 69 %, 46970 MiB
0, 2023/12/21 00:13:01.201, 192.61 W, 85, 0 %, 46341 MiB
1, 2023/12/21 00:13:01.201, 226.88 W, 82, 0 %, 46970 MiB
0, 2023/12/21 00:14:01.202, 141.58 W, 85, 0 %, 46341 MiB
1, 2023/12/21 00:14:01.203, 151.75 W, 82, 0 %, 46970 MiB
0, 2023/12/21 00:15:01.204, 249.06 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:15:01.204, 240.04 W, 83, 0 %, 46970 MiB
0, 2023/12/21 00:16:01.204, 120.18 W, 86, 23 %, 46341 MiB
1, 2023/12/21 00:16:01.205, 148.50 W, 85, 75 %, 46970 MiB
0, 2023/12/21 00:17:01.205, 244.80 W, 87, 61 %, 46341 MiB
1, 2023/12/21 00:17:01.205, 291.80 W, 84, 100 %, 46970 MiB
0, 2023/12/21 00:18:01.206, 270.54 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:18:01.207, 268.08 W, 85, 26 %, 46970 MiB
0, 2023/12/21 00:19:01.208, 267.26 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:19:01.210, 290.38 W, 85, 100 %, 46970 MiB
0, 2023/12/21 00:20:01.211, 259.29 W, 86, 100 %, 46341 MiB
1, 2023/12/21 00:20:01.212, 215.96 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:21:01.213, 211.15 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:21:01.213, 273.95 W, 85, 100 %, 46970 MiB
0, 2023/12/21 00:22:01.214, 247.93 W, 87, 74 %, 46341 MiB
1, 2023/12/21 00:22:01.215, 209.50 W, 85, 42 %, 46970 MiB
0, 2023/12/21 00:23:01.216, 245.71 W, 89, 100 %, 46341 MiB
1, 2023/12/21 00:23:01.217, 271.19 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:24:01.217, 222.11 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:24:01.217, 198.13 W, 86, 20 %, 46970 MiB
0, 2023/12/21 00:25:01.218, 231.58 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:25:01.219, 263.52 W, 86, 63 %, 46970 MiB
0, 2023/12/21 00:26:01.219, 251.20 W, 88, 93 %, 46341 MiB
1, 2023/12/21 00:26:01.220, 262.86 W, 86, 97 %, 46970 MiB
0, 2023/12/21 00:27:01.220, 218.00 W, 86, 72 %, 46341 MiB
1, 2023/12/21 00:27:01.220, 262.83 W, 85, 97 %, 46970 MiB
0, 2023/12/21 00:28:01.221, 275.04 W, 88, 87 %, 46341 MiB
1, 2023/12/21 00:28:01.224, 269.94 W, 86, 99 %, 46970 MiB
0, 2023/12/21 00:29:01.226, 265.05 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:29:01.226, 251.93 W, 85, 100 %, 46970 MiB
0, 2023/12/21 00:30:01.227, 215.41 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:30:01.227, 230.36 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:31:01.228, 260.91 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:31:01.228, 269.09 W, 86, 91 %, 46970 MiB
0, 2023/12/21 00:32:01.229, 191.92 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:32:01.229, 270.42 W, 86, 89 %, 46970 MiB
0, 2023/12/21 00:33:01.230, 257.81 W, 88, 97 %, 46341 MiB
1, 2023/12/21 00:33:01.230, 291.92 W, 87, 100 %, 46970 MiB
0, 2023/12/21 00:34:01.232, 195.56 W, 88, 69 %, 46341 MiB
1, 2023/12/21 00:34:01.235, 209.53 W, 83, 70 %, 46970 MiB
0, 2023/12/21 00:35:01.235, 251.97 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:35:01.235, 257.60 W, 85, 69 %, 46970 MiB
0, 2023/12/21 00:36:01.236, 186.01 W, 88, 72 %, 46341 MiB
1, 2023/12/21 00:36:01.236, 268.83 W, 86, 82 %, 46970 MiB
0, 2023/12/21 00:37:01.237, 259.13 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:37:01.237, 279.96 W, 87, 100 %, 46970 MiB
0, 2023/12/21 00:38:01.238, 193.44 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:38:01.238, 205.48 W, 86, 70 %, 46970 MiB
0, 2023/12/21 00:39:01.239, 258.01 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:39:01.239, 276.45 W, 86, 77 %, 46970 MiB
0, 2023/12/21 00:40:01.239, 221.83 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:40:01.239, 273.86 W, 87, 99 %, 46970 MiB
0, 2023/12/21 00:41:01.240, 261.10 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:41:01.240, 248.37 W, 85, 100 %, 46970 MiB
0, 2023/12/21 00:42:01.241, 226.76 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:42:01.241, 279.69 W, 86, 65 %, 46970 MiB
0, 2023/12/21 00:43:01.242, 256.08 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:43:01.243, 256.64 W, 85, 92 %, 46970 MiB
0, 2023/12/21 00:44:01.243, 254.50 W, 88, 90 %, 46341 MiB
1, 2023/12/21 00:44:01.244, 259.21 W, 85, 100 %, 46970 MiB
0, 2023/12/21 00:45:01.244, 243.57 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:45:01.244, 206.40 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:46:01.245, 264.29 W, 88, 46 %, 46341 MiB
1, 2023/12/21 00:46:01.245, 270.80 W, 86, 63 %, 46970 MiB
0, 2023/12/21 00:47:01.247, 245.15 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:47:01.247, 267.97 W, 87, 99 %, 46970 MiB
0, 2023/12/21 00:48:01.247, 272.78 W, 87, 89 %, 46341 MiB
1, 2023/12/21 00:48:01.247, 291.42 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:49:01.248, 233.75 W, 87, 100 %, 46341 MiB
1, 2023/12/21 00:49:01.249, 216.09 W, 86, 84 %, 46970 MiB
0, 2023/12/21 00:50:01.249, 268.99 W, 88, 78 %, 46341 MiB
1, 2023/12/21 00:50:01.249, 282.68 W, 86, 83 %, 46970 MiB
0, 2023/12/21 00:51:01.250, 213.36 W, 86, 100 %, 46341 MiB
1, 2023/12/21 00:51:01.250, 262.15 W, 86, 91 %, 46970 MiB
0, 2023/12/21 00:52:01.251, 265.51 W, 88, 88 %, 46341 MiB
1, 2023/12/21 00:52:01.251, 289.10 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:53:01.260, 187.89 W, 88, 40 %, 46341 MiB
1, 2023/12/21 00:53:01.260, 228.01 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:54:01.261, 246.77 W, 88, 84 %, 46341 MiB
1, 2023/12/21 00:54:01.261, 267.28 W, 86, 88 %, 46970 MiB
0, 2023/12/21 00:55:01.262, 193.72 W, 88, 60 %, 46341 MiB
1, 2023/12/21 00:55:01.262, 273.90 W, 86, 99 %, 46970 MiB
0, 2023/12/21 00:56:01.263, 258.14 W, 88, 97 %, 46341 MiB
1, 2023/12/21 00:56:01.263, 242.14 W, 85, 100 %, 46970 MiB
0, 2023/12/21 00:57:01.264, 203.85 W, 88, 82 %, 46341 MiB
1, 2023/12/21 00:57:01.265, 247.93 W, 86, 100 %, 46970 MiB
0, 2023/12/21 00:58:01.266, 261.46 W, 88, 100 %, 46341 MiB
1, 2023/12/21 00:58:01.266, 264.48 W, 86, 96 %, 46970 MiB
0, 2023/12/21 00:59:01.267, 257.68 W, 88, 87 %, 46341 MiB
1, 2023/12/21 00:59:01.267, 265.16 W, 86, 93 %, 46970 MiB
0, 2023/12/21 01:00:01.268, 258.11 W, 87, 100 %, 46341 MiB
1, 2023/12/21 01:00:01.268, 267.67 W, 86, 99 %, 46970 MiB
0, 2023/12/21 01:01:01.269, 259.63 W, 87, 89 %, 46341 MiB
1, 2023/12/21 01:01:01.270, 279.57 W, 86, 100 %, 46970 MiB
0, 2023/12/21 01:02:01.272, 265.08 W, 87, 100 %, 46341 MiB
1, 2023/12/21 01:02:01.272, 272.83 W, 85, 100 %, 46970 MiB
0, 2023/12/21 01:03:01.273, 239.56 W, 87, 100 %, 46341 MiB
1, 2023/12/21 01:03:01.273, 230.76 W, 83, 71 %, 46970 MiB
0, 2023/12/21 01:04:01.274, 254.39 W, 87, 100 %, 46341 MiB
1, 2023/12/21 01:04:01.274, 208.34 W, 86, 100 %, 46970 MiB
0, 2023/12/21 01:05:01.275, 264.42 W, 88, 97 %, 46341 MiB
1, 2023/12/21 01:05:01.277, 280.72 W, 86, 72 %, 46970 MiB
0, 2023/12/21 01:06:01.278, 196.57 W, 88, 46 %, 46341 MiB
1, 2023/12/21 01:06:01.279, 270.53 W, 86, 84 %, 46970 MiB
0, 2023/12/21 01:07:01.279, 256.97 W, 88, 98 %, 46341 MiB
1, 2023/12/21 01:07:01.279, 270.91 W, 86, 99 %, 46970 MiB
0, 2023/12/21 01:08:01.280, 205.48 W, 87, 100 %, 46341 MiB
1, 2023/12/21 01:08:01.280, 285.69 W, 85, 100 %, 46970 MiB
0, 2023/12/21 01:09:01.281, 254.11 W, 87, 100 %, 46341 MiB
1, 2023/12/21 01:09:01.281, 203.28 W, 86, 73 %, 46970 MiB
0, 2023/12/21 01:10:01.282, 271.70 W, 87, 62 %, 46341 MiB
1, 2023/12/21 01:10:01.282, 243.30 W, 84, 89 %, 46970 MiB
0, 2023/12/21 01:11:01.283, 200.62 W, 86, 93 %, 46341 MiB
1, 2023/12/21 01:11:01.283, 267.15 W, 86, 65 %, 46970 MiB
0, 2023/12/21 01:12:01.283, 263.48 W, 88, 100 %, 46341 MiB
1, 2023/12/21 01:12:01.284, 277.34 W, 84, 96 %, 46970 MiB
