gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/12/02 00:00:01.110, 171.73 W, 73, 98 %, 3555 MiB
1, 2023/12/02 00:00:01.110, 1.25 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:01:01.113, 171.12 W, 72, 99 %, 3555 MiB
1, 2023/12/02 00:01:01.113, 1.24 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:02:01.115, 172.11 W, 73, 99 %, 3555 MiB
1, 2023/12/02 00:02:01.116, 1.24 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:03:01.117, 158.95 W, 73, 99 %, 3555 MiB
1, 2023/12/02 00:03:01.118, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:04:01.120, 135.55 W, 72, 99 %, 3555 MiB
1, 2023/12/02 00:04:01.121, 1.24 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:05:01.123, 140.36 W, 73, 92 %, 3555 MiB
1, 2023/12/02 00:05:01.124, 1.26 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:06:01.126, 142.22 W, 73, 91 %, 3555 MiB
1, 2023/12/02 00:06:01.126, 1.23 W, 40, 1 %, 24 MiB
0, 2023/12/02 00:07:01.128, 171.35 W, 74, 98 %, 3555 MiB
1, 2023/12/02 00:07:01.129, 1.23 W, 40, 1 %, 24 MiB
0, 2023/12/02 00:08:01.130, 171.12 W, 73, 98 %, 3555 MiB
1, 2023/12/02 00:08:01.132, 1.36 W, 40, 1 %, 24 MiB
0, 2023/12/02 00:09:01.134, 171.92 W, 73, 99 %, 3555 MiB
1, 2023/12/02 00:09:01.135, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:10:01.137, 172.96 W, 73, 99 %, 3555 MiB
1, 2023/12/02 00:10:01.138, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:11:01.140, 173.06 W, 73, 99 %, 3555 MiB
1, 2023/12/02 00:11:01.141, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:12:01.142, 158.43 W, 72, 99 %, 3555 MiB
1, 2023/12/02 00:12:01.143, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:13:01.145, 140.45 W, 73, 93 %, 3555 MiB
1, 2023/12/02 00:13:01.146, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:14:01.148, 140.74 W, 73, 92 %, 3555 MiB
1, 2023/12/02 00:14:01.148, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:15:01.150, 140.90 W, 73, 96 %, 3555 MiB
1, 2023/12/02 00:15:01.151, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:16:01.152, 169.95 W, 73, 98 %, 3555 MiB
1, 2023/12/02 00:16:01.154, 1.23 W, 40, 0 %, 24 MiB
0, 2023/12/02 00:17:01.156, 170.97 W, 73, 97 %, 3555 MiB
