gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/01/31 00:00:01.671, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:00:01.672, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:01:01.673, 66.26 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:01:01.674, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:02:01.676, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:02:01.677, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:03:01.678, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:03:01.679, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:04:01.681, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:04:01.682, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:05:01.684, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:05:01.685, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:06:01.686, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:06:01.687, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:07:01.689, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:07:01.690, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:08:01.691, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:08:01.695, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:09:01.697, 66.26 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:09:01.698, 1.23 W, 41, 0 %, 24 MiB
0, 2024/01/31 00:10:01.699, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:10:01.705, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:11:01.707, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:11:01.711, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/31 00:12:01.713, 66.26 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:12:01.714, 1.23 W, 41, 0 %, 24 MiB
0, 2024/01/31 00:13:01.716, 66.35 W, 54, 0 %, 9209 MiB
1, 2024/01/31 00:13:01.717, 1.24 W, 40, 0 %, 24 MiB
