gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/09/06 00:00:01.234, 25.64 W, 48, 0 %, 8305 MiB
1, 2024/09/06 00:00:01.237, 73.77 W, 79, 65 %, 17096 MiB
0, 2024/09/06 00:01:01.239, 25.53 W, 48, 0 %, 8305 MiB
1, 2024/09/06 00:01:01.243, 181.47 W, 80, 86 %, 17096 MiB
0, 2024/09/06 00:02:01.257, 25.50 W, 48, 0 %, 8305 MiB
1, 2024/09/06 00:02:01.283, 173.12 W, 80, 97 %, 17096 MiB
0, 2024/09/06 00:03:01.292, 25.69 W, 48, 0 %, 8305 MiB
1, 2024/09/06 00:03:01.300, 192.86 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:04:01.308, 25.69 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:04:01.314, 180.60 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:05:01.319, 25.69 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:05:01.322, 179.57 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:06:01.335, 25.59 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:06:01.345, 166.65 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:07:01.349, 25.80 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:07:01.375, 156.42 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:08:01.381, 25.50 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:08:01.384, 155.54 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:09:01.388, 25.69 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:09:01.397, 165.26 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:10:01.404, 25.60 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:10:01.417, 176.05 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:11:01.428, 25.60 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:11:01.432, 175.94 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:12:01.435, 25.60 W, 48, 0 %, 8313 MiB
1, 2024/09/06 00:12:01.453, 154.82 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:13:01.458, 25.69 W, 48, 0 %, 8312 MiB
1, 2024/09/06 00:13:01.461, 171.13 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:14:01.465, 25.59 W, 48, 0 %, 8312 MiB
1, 2024/09/06 00:14:01.481, 161.86 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:15:01.485, 25.60 W, 48, 0 %, 8312 MiB
1, 2024/09/06 00:15:01.514, 172.74 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:16:01.520, 25.60 W, 48, 0 %, 8312 MiB
1, 2024/09/06 00:16:01.540, 162.37 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:17:01.549, 25.69 W, 48, 0 %, 8312 MiB
1, 2024/09/06 00:17:01.576, 159.03 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:18:01.589, 25.50 W, 48, 0 %, 8312 MiB
1, 2024/09/06 00:18:01.607, 190.40 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:19:01.615, 25.60 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:19:01.629, 188.49 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:20:01.641, 25.70 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:20:01.659, 182.91 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:21:01.664, 25.49 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:21:01.690, 197.64 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:22:01.696, 25.70 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:22:01.699, 163.25 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:23:01.705, 25.70 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:23:01.726, 173.10 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:24:01.738, 25.78 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:24:01.760, 179.16 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:25:01.766, 25.60 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:25:01.781, 164.24 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:26:01.787, 25.69 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:26:01.790, 186.42 W, 80, 95 %, 17096 MiB
0, 2024/09/06 00:27:01.793, 25.79 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:27:01.813, 180.32 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:28:01.819, 25.60 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:28:01.839, 171.67 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:29:01.844, 25.67 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:29:01.872, 177.88 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:30:01.884, 25.78 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:30:01.906, 181.44 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:31:01.914, 25.60 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:31:01.924, 194.43 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:32:01.931, 25.69 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:32:01.938, 175.04 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:33:01.949, 25.60 W, 48, 0 %, 8310 MiB
1, 2024/09/06 00:33:01.952, 173.56 W, 80, 100 %, 17096 MiB
0, 2024/09/06 00:34:01.960, 25.60 W, 48, 0 %, 8310 MiB
