gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/02/27 00:00:01.393, 258.60 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:00:01.395, 253.35 W, 86, 100 %, 45751 MiB
0, 2024/02/27 00:01:01.396, 270.36 W, 89, 99 %, 45763 MiB
1, 2024/02/27 00:01:01.396, 280.09 W, 87, 100 %, 45751 MiB
0, 2024/02/27 00:02:01.397, 269.58 W, 89, 100 %, 45763 MiB
1, 2024/02/27 00:02:01.397, 288.73 W, 87, 100 %, 45751 MiB
0, 2024/02/27 00:03:01.398, 247.56 W, 87, 81 %, 45763 MiB
1, 2024/02/27 00:03:01.399, 253.78 W, 84, 100 %, 45751 MiB
0, 2024/02/27 00:04:01.400, 259.40 W, 88, 99 %, 45763 MiB
1, 2024/02/27 00:04:01.400, 291.02 W, 87, 99 %, 45751 MiB
0, 2024/02/27 00:05:01.401, 248.87 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:05:01.401, 256.89 W, 87, 100 %, 45751 MiB
0, 2024/02/27 00:06:01.401, 215.63 W, 88, 67 %, 45763 MiB
1, 2024/02/27 00:06:01.401, 235.55 W, 87, 96 %, 45751 MiB
0, 2024/02/27 00:07:01.401, 270.45 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:07:01.402, 285.16 W, 86, 100 %, 45751 MiB
0, 2024/02/27 00:08:01.402, 256.99 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:08:01.402, 262.98 W, 87, 59 %, 45751 MiB
0, 2024/02/27 00:09:01.403, 222.79 W, 88, 97 %, 45763 MiB
1, 2024/02/27 00:09:01.403, 236.51 W, 87, 96 %, 45751 MiB
0, 2024/02/27 00:10:01.404, 274.02 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:10:01.404, 289.02 W, 86, 100 %, 45751 MiB
0, 2024/02/27 00:11:01.404, 194.81 W, 88, 17 %, 45763 MiB
1, 2024/02/27 00:11:01.405, 217.04 W, 86, 11 %, 45751 MiB
0, 2024/02/27 00:12:01.405, 261.44 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:12:01.406, 265.11 W, 86, 93 %, 45751 MiB
0, 2024/02/27 00:13:01.406, 271.12 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:13:01.406, 293.10 W, 87, 99 %, 45751 MiB
0, 2024/02/27 00:14:01.407, 236.25 W, 88, 100 %, 45763 MiB
1, 2024/02/27 00:14:01.408, 265.71 W, 86, 100 %, 45751 MiB
0, 2024/02/27 00:15:01.409, 258.01 W, 88, 99 %, 45763 MiB
1, 2024/02/27 00:15:01.409, 288.93 W, 87, 99 %, 45751 MiB
0, 2024/02/27 00:16:01.410, 259.89 W, 88, 100 %, 45763 MiB
