gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/24 00:00:01.561, 24.45 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:00:01.566, 24.13 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:01:01.570, 24.46 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:01:01.587, 23.94 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:02:01.602, 24.65 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:02:01.626, 24.04 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:03:01.653, 24.37 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:03:01.659, 23.85 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:04:01.664, 24.37 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:04:01.667, 23.94 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:05:01.671, 24.47 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:05:01.675, 24.14 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:06:01.694, 24.47 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:06:01.698, 24.04 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:07:01.719, 24.47 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:07:01.722, 24.04 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:08:01.747, 24.37 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:08:01.751, 23.95 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:09:01.768, 24.37 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:09:01.772, 24.04 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:10:01.776, 24.56 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:10:01.802, 23.94 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:11:01.807, 24.46 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:11:01.827, 23.94 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:12:01.843, 24.46 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:12:01.863, 23.85 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:13:01.880, 24.56 W, 43, 0 %, 1552 MiB
1, 2023/03/24 00:13:01.906, 23.94 W, 41, 0 %, 12 MiB
0, 2023/03/24 00:14:01.912, 24.47 W, 43, 0 %, 1552 MiB
