gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/06/14 00:00:01.627, 270.18 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:00:01.628, 286.07 W, 88, 75 %, 19017 MiB
0, 2024/06/14 00:01:01.630, 269.59 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:01:01.630, 286.08 W, 88, 90 %, 19017 MiB
0, 2024/06/14 00:02:01.632, 269.33 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:02:01.632, 282.38 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:03:01.633, 272.20 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:03:01.638, 284.66 W, 87, 75 %, 19017 MiB
0, 2024/06/14 00:04:01.638, 270.30 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:04:01.638, 283.33 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:05:01.639, 274.10 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:05:01.640, 278.44 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:06:01.641, 270.42 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:06:01.641, 284.22 W, 87, 74 %, 19017 MiB
0, 2024/06/14 00:07:01.642, 270.70 W, 89, 95 %, 19043 MiB
1, 2024/06/14 00:07:01.642, 284.84 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:08:01.643, 269.01 W, 89, 95 %, 19043 MiB
1, 2024/06/14 00:08:01.643, 280.82 W, 88, 100 %, 19017 MiB
0, 2024/06/14 00:09:01.644, 278.07 W, 89, 95 %, 19043 MiB
1, 2024/06/14 00:09:01.644, 281.79 W, 88, 93 %, 19017 MiB
0, 2024/06/14 00:10:01.646, 266.33 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:10:01.646, 283.80 W, 86, 70 %, 19017 MiB
0, 2024/06/14 00:11:01.647, 270.43 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:11:01.647, 285.07 W, 86, 100 %, 19017 MiB
0, 2024/06/14 00:12:01.648, 269.32 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:12:01.648, 281.02 W, 86, 100 %, 19017 MiB
0, 2024/06/14 00:13:01.649, 280.37 W, 89, 90 %, 19043 MiB
1, 2024/06/14 00:13:01.649, 284.37 W, 87, 79 %, 19017 MiB
0, 2024/06/14 00:14:01.650, 270.72 W, 89, 92 %, 19043 MiB
1, 2024/06/14 00:14:01.650, 286.51 W, 87, 92 %, 19017 MiB
0, 2024/06/14 00:15:01.651, 271.02 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:15:01.651, 284.72 W, 88, 100 %, 19017 MiB
0, 2024/06/14 00:16:01.652, 267.08 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:16:01.652, 278.30 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:17:01.653, 271.77 W, 89, 92 %, 19043 MiB
1, 2024/06/14 00:17:01.661, 285.28 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:18:01.662, 266.41 W, 89, 90 %, 19043 MiB
1, 2024/06/14 00:18:01.663, 283.63 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:19:01.663, 268.12 W, 89, 90 %, 19043 MiB
1, 2024/06/14 00:19:01.663, 282.65 W, 88, 74 %, 19017 MiB
0, 2024/06/14 00:20:01.664, 268.23 W, 88, 90 %, 19043 MiB
1, 2024/06/14 00:20:01.665, 283.86 W, 88, 90 %, 19017 MiB
0, 2024/06/14 00:21:01.665, 265.98 W, 89, 91 %, 19043 MiB
1, 2024/06/14 00:21:01.666, 283.98 W, 86, 100 %, 19017 MiB
0, 2024/06/14 00:22:01.666, 263.26 W, 89, 92 %, 19043 MiB
1, 2024/06/14 00:22:01.666, 285.39 W, 86, 100 %, 19017 MiB
0, 2024/06/14 00:23:01.667, 264.58 W, 89, 90 %, 19043 MiB
1, 2024/06/14 00:23:01.667, 283.64 W, 88, 94 %, 19017 MiB
0, 2024/06/14 00:24:01.668, 265.70 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:24:01.668, 285.33 W, 87, 73 %, 19017 MiB
0, 2024/06/14 00:25:01.668, 266.69 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:25:01.672, 282.72 W, 87, 90 %, 19017 MiB
0, 2024/06/14 00:26:01.672, 274.41 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:26:01.672, 282.81 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:27:01.673, 281.42 W, 89, 95 %, 19043 MiB
1, 2024/06/14 00:27:01.674, 290.01 W, 87, 86 %, 19017 MiB
0, 2024/06/14 00:28:01.675, 267.05 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:28:01.675, 281.55 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:29:01.676, 268.07 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:29:01.677, 284.20 W, 88, 91 %, 19017 MiB
0, 2024/06/14 00:30:01.678, 279.89 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:30:01.678, 283.73 W, 87, 99 %, 19017 MiB
0, 2024/06/14 00:31:01.680, 266.66 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:31:01.680, 282.42 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:32:01.681, 267.56 W, 88, 94 %, 19043 MiB
1, 2024/06/14 00:32:01.681, 280.71 W, 87, 87 %, 19017 MiB
0, 2024/06/14 00:33:01.682, 267.59 W, 89, 94 %, 19043 MiB
1, 2024/06/14 00:33:01.682, 281.01 W, 87, 85 %, 19017 MiB
0, 2024/06/14 00:34:01.683, 268.29 W, 89, 91 %, 19043 MiB
1, 2024/06/14 00:34:01.683, 285.94 W, 87, 97 %, 19017 MiB
0, 2024/06/14 00:35:01.683, 140.46 W, 81, 0 %, 19043 MiB
1, 2024/06/14 00:35:01.684, 288.05 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:36:01.685, 189.87 W, 82, 76 %, 19043 MiB
1, 2024/06/14 00:36:01.685, 282.39 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:37:01.686, 207.34 W, 85, 87 %, 19043 MiB
1, 2024/06/14 00:37:01.686, 248.95 W, 82, 71 %, 19017 MiB
0, 2024/06/14 00:38:01.687, 227.20 W, 89, 75 %, 19043 MiB
1, 2024/06/14 00:38:01.688, 228.83 W, 82, 96 %, 19017 MiB
0, 2024/06/14 00:39:01.689, 255.19 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:39:01.689, 284.89 W, 88, 100 %, 19017 MiB
0, 2024/06/14 00:40:01.690, 254.08 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:40:01.691, 284.14 W, 88, 100 %, 19017 MiB
0, 2024/06/14 00:41:01.692, 262.27 W, 89, 91 %, 19043 MiB
1, 2024/06/14 00:41:01.692, 280.53 W, 87, 74 %, 19017 MiB
0, 2024/06/14 00:42:01.693, 278.99 W, 89, 99 %, 19043 MiB
1, 2024/06/14 00:42:01.693, 282.09 W, 87, 91 %, 19017 MiB
0, 2024/06/14 00:43:01.695, 267.65 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:43:01.695, 280.92 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:44:01.696, 268.53 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:44:01.696, 285.57 W, 87, 94 %, 19017 MiB
0, 2024/06/14 00:45:01.697, 267.19 W, 89, 99 %, 19043 MiB
1, 2024/06/14 00:45:01.698, 284.80 W, 87, 87 %, 19017 MiB
0, 2024/06/14 00:46:01.699, 269.17 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:46:01.699, 283.42 W, 86, 86 %, 19017 MiB
0, 2024/06/14 00:47:01.700, 269.30 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:47:01.700, 282.25 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:48:01.700, 266.88 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:48:01.702, 281.72 W, 86, 100 %, 19017 MiB
0, 2024/06/14 00:49:01.702, 269.50 W, 89, 95 %, 19043 MiB
1, 2024/06/14 00:49:01.704, 276.58 W, 87, 89 %, 19017 MiB
0, 2024/06/14 00:50:01.705, 270.67 W, 89, 95 %, 19043 MiB
1, 2024/06/14 00:50:01.705, 284.88 W, 88, 96 %, 19017 MiB
0, 2024/06/14 00:51:01.706, 272.43 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:51:01.706, 282.29 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:52:01.706, 264.01 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:52:01.707, 281.25 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:53:01.707, 263.25 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:53:01.708, 283.32 W, 87, 84 %, 19017 MiB
0, 2024/06/14 00:54:01.708, 271.15 W, 88, 100 %, 19043 MiB
1, 2024/06/14 00:54:01.709, 284.23 W, 86, 90 %, 19017 MiB
0, 2024/06/14 00:55:01.709, 264.36 W, 88, 93 %, 19043 MiB
1, 2024/06/14 00:55:01.715, 284.15 W, 87, 85 %, 19017 MiB
0, 2024/06/14 00:56:01.716, 276.97 W, 89, 91 %, 19043 MiB
1, 2024/06/14 00:56:01.716, 284.28 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:57:01.718, 278.55 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:57:01.718, 281.97 W, 87, 99 %, 19017 MiB
0, 2024/06/14 00:58:01.719, 270.85 W, 89, 100 %, 19043 MiB
1, 2024/06/14 00:58:01.719, 278.19 W, 87, 100 %, 19017 MiB
0, 2024/06/14 00:59:01.720, 268.23 W, 89, 95 %, 19043 MiB
1, 2024/06/14 00:59:01.720, 285.04 W, 87, 100 %, 19017 MiB
0, 2024/06/14 01:00:01.725, 267.25 W, 88, 95 %, 19043 MiB
1, 2024/06/14 01:00:01.726, 280.74 W, 87, 93 %, 19017 MiB
0, 2024/06/14 01:01:01.727, 277.21 W, 89, 100 %, 19043 MiB
1, 2024/06/14 01:01:01.727, 283.44 W, 87, 99 %, 19017 MiB
0, 2024/06/14 01:02:01.728, 265.08 W, 88, 92 %, 19043 MiB
1, 2024/06/14 01:02:01.728, 282.62 W, 87, 100 %, 19017 MiB
0, 2024/06/14 01:03:01.729, 264.94 W, 88, 92 %, 19043 MiB
1, 2024/06/14 01:03:01.729, 282.52 W, 87, 96 %, 19017 MiB
0, 2024/06/14 01:04:01.730, 268.18 W, 89, 91 %, 19043 MiB
1, 2024/06/14 01:04:01.731, 284.73 W, 87, 78 %, 19017 MiB
0, 2024/06/14 01:05:01.732, 268.88 W, 88, 94 %, 19043 MiB
1, 2024/06/14 01:05:01.732, 285.41 W, 87, 100 %, 19017 MiB
0, 2024/06/14 01:06:01.732, 266.57 W, 88, 100 %, 19043 MiB
1, 2024/06/14 01:06:01.733, 284.32 W, 87, 100 %, 19017 MiB
