gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/11/13 00:00:01.207, 431.71 W, 67, 97 %, 24148 MiB
0, 2023/11/13 00:01:01.210, 140.14 W, 59, 0 %, 24148 MiB
0, 2023/11/13 00:02:01.212, 384.04 W, 66, 88 %, 24148 MiB
0, 2023/11/13 00:03:01.214, 347.21 W, 69, 94 %, 24148 MiB
0, 2023/11/13 00:04:01.216, 388.09 W, 69, 98 %, 24148 MiB
0, 2023/11/13 00:05:01.227, 345.45 W, 70, 81 %, 24148 MiB
0, 2023/11/13 00:06:01.230, 403.26 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:07:01.233, 237.87 W, 67, 82 %, 24148 MiB
0, 2023/11/13 00:08:01.235, 356.16 W, 69, 96 %, 24148 MiB
0, 2023/11/13 00:09:01.236, 401.45 W, 70, 97 %, 24148 MiB
0, 2023/11/13 00:10:01.239, 339.51 W, 69, 98 %, 24148 MiB
0, 2023/11/13 00:11:01.241, 405.30 W, 69, 99 %, 24148 MiB
0, 2023/11/13 00:12:01.242, 422.10 W, 70, 87 %, 24148 MiB
0, 2023/11/13 00:13:01.244, 425.42 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:14:01.246, 329.51 W, 69, 86 %, 24148 MiB
0, 2023/11/13 00:15:01.247, 378.21 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:16:01.249, 287.98 W, 67, 88 %, 24148 MiB
0, 2023/11/13 00:17:01.251, 385.91 W, 68, 88 %, 24148 MiB
0, 2023/11/13 00:18:01.253, 384.37 W, 69, 98 %, 24148 MiB
0, 2023/11/13 00:19:01.254, 418.86 W, 70, 90 %, 24148 MiB
0, 2023/11/13 00:20:01.256, 412.01 W, 67, 89 %, 24148 MiB
0, 2023/11/13 00:21:01.257, 413.68 W, 70, 91 %, 24148 MiB
0, 2023/11/13 00:22:01.259, 448.82 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:23:01.261, 383.66 W, 69, 100 %, 24148 MiB
0, 2023/11/13 00:24:01.263, 227.56 W, 69, 99 %, 24148 MiB
0, 2023/11/13 00:25:01.265, 254.62 W, 69, 99 %, 24148 MiB
0, 2023/11/13 00:26:01.267, 410.49 W, 70, 100 %, 24148 MiB
0, 2023/11/13 00:27:01.268, 344.41 W, 69, 99 %, 24148 MiB
0, 2023/11/13 00:28:01.269, 362.14 W, 69, 98 %, 24148 MiB
0, 2023/11/13 00:29:01.271, 383.01 W, 69, 86 %, 24148 MiB
0, 2023/11/13 00:30:01.272, 240.70 W, 69, 88 %, 24148 MiB
0, 2023/11/13 00:31:01.274, 441.19 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:32:01.276, 401.56 W, 69, 100 %, 24148 MiB
0, 2023/11/13 00:33:01.277, 362.53 W, 70, 89 %, 24148 MiB
0, 2023/11/13 00:34:01.279, 432.40 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:35:01.281, 381.86 W, 67, 97 %, 24148 MiB
0, 2023/11/13 00:36:01.283, 427.83 W, 70, 88 %, 24148 MiB
0, 2023/11/13 00:37:01.284, 392.95 W, 70, 73 %, 24148 MiB
0, 2023/11/13 00:38:01.286, 215.61 W, 69, 86 %, 24148 MiB
0, 2023/11/13 00:39:01.289, 450.10 W, 69, 98 %, 24148 MiB
0, 2023/11/13 00:40:01.290, 349.24 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:41:01.291, 406.76 W, 70, 98 %, 24148 MiB
0, 2023/11/13 00:42:01.293, 315.43 W, 67, 79 %, 24148 MiB
0, 2023/11/13 00:43:01.295, 400.88 W, 69, 99 %, 24148 MiB
0, 2023/11/13 00:44:01.297, 450.68 W, 68, 99 %, 24148 MiB
0, 2023/11/13 00:45:01.299, 312.79 W, 67, 98 %, 24148 MiB
0, 2023/11/13 00:46:01.300, 403.58 W, 69, 99 %, 24148 MiB
0, 2023/11/13 00:47:01.302, 257.91 W, 69, 92 %, 24148 MiB
0, 2023/11/13 00:48:01.303, 420.02 W, 69, 81 %, 24148 MiB
0, 2023/11/13 00:49:01.304, 454.04 W, 67, 99 %, 24148 MiB
0, 2023/11/13 00:50:01.307, 383.92 W, 68, 77 %, 24148 MiB
0, 2023/11/13 00:51:01.308, 414.17 W, 70, 92 %, 24148 MiB
0, 2023/11/13 00:52:01.310, 285.18 W, 67, 97 %, 24148 MiB
0, 2023/11/13 00:53:01.311, 239.74 W, 68, 99 %, 24148 MiB
0, 2023/11/13 00:54:01.313, 308.86 W, 69, 100 %, 24148 MiB
0, 2023/11/13 00:55:01.315, 391.20 W, 70, 99 %, 24148 MiB
0, 2023/11/13 00:56:01.317, 401.05 W, 69, 98 %, 24148 MiB
0, 2023/11/13 00:57:01.319, 345.00 W, 69, 99 %, 24148 MiB
0, 2023/11/13 00:58:01.321, 313.56 W, 66, 89 %, 24148 MiB
