gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/21 00:00:01.948, 24.84 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:00:01.952, 24.34 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:01:01.957, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:01:01.969, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:02:01.973, 24.75 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:02:01.987, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:03:02.002, 25.04 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:03:02.027, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:04:02.044, 24.85 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:04:02.055, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:05:02.077, 24.75 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:05:02.093, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:06:02.106, 25.05 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:06:02.110, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:07:02.114, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:07:02.127, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:08:02.146, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:08:02.152, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:09:02.176, 24.96 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:09:02.180, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:10:02.184, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:10:02.191, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:11:02.197, 24.94 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:11:02.223, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:12:02.233, 24.86 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:12:02.236, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:13:02.240, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:13:02.253, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:14:02.261, 24.84 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:14:02.280, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:15:02.285, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:15:02.289, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:16:02.293, 24.94 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:16:02.315, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:17:02.324, 25.04 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:17:02.351, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:18:02.356, 24.85 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:18:02.359, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:19:02.364, 24.95 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:19:02.367, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:20:02.384, 25.04 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:20:02.387, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:21:02.394, 24.76 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:21:02.397, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:22:02.419, 24.76 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:22:02.422, 24.34 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:23:02.447, 24.94 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:23:02.471, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:24:02.493, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:24:02.497, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:25:02.512, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:25:02.527, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:26:02.555, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:26:02.560, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:27:02.585, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:27:02.606, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:28:02.626, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:28:02.630, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:29:02.634, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:29:02.647, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:30:02.656, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:30:02.660, 24.34 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:31:02.673, 25.05 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:31:02.685, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:32:02.699, 24.85 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:32:02.713, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:33:02.720, 24.95 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:33:02.723, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:34:02.727, 24.85 W, 45, 3 %, 1549 MiB
1, 2023/03/21 00:34:02.731, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:35:02.756, 24.86 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:35:02.759, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:36:02.779, 25.24 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:36:02.792, 24.24 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:37:02.813, 24.84 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:37:02.825, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:38:02.831, 24.76 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:38:02.837, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:39:02.847, 24.76 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:39:02.851, 24.04 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:40:02.855, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:40:02.875, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:41:02.881, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:41:02.885, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:42:02.894, 24.94 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:42:02.915, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:43:02.926, 24.94 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:43:02.952, 24.34 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:44:02.964, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:44:02.976, 24.14 W, 43, 0 %, 12 MiB
0, 2023/03/21 00:45:02.983, 24.85 W, 45, 0 %, 1549 MiB
1, 2023/03/21 00:45:02.986, 24.24 W, 43, 0 %, 12 MiB
