gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/05/16 00:00:01.699, 24.65 W, 44, 0 %, 6063 MiB
1, 2023/05/16 00:00:01.719, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:01:01.725, 24.66 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:01:01.728, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:02:01.732, 24.76 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:02:01.736, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:03:01.758, 24.66 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:03:01.768, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:04:01.773, 24.75 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:04:01.793, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:05:01.806, 24.66 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:05:01.821, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:06:01.841, 24.76 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:06:01.844, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:07:01.872, 24.66 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:07:01.881, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:08:01.909, 24.56 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:08:01.916, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:09:01.922, 24.56 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:09:01.926, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:10:01.946, 24.85 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:10:01.964, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:11:01.981, 24.75 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:11:02.001, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:12:02.029, 24.76 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:12:02.033, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:13:02.055, 24.76 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:13:02.059, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:14:02.071, 24.76 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:14:02.081, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:15:02.085, 24.66 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:15:02.088, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:16:02.098, 24.76 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:16:02.101, 24.04 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:17:02.121, 24.56 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:17:02.125, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:18:02.129, 24.75 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:18:02.156, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:19:02.164, 24.76 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:19:02.168, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:20:02.171, 24.75 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:20:02.188, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:21:02.210, 24.66 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:21:02.231, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:22:02.246, 24.76 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:22:02.254, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:23:02.274, 24.66 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:23:02.280, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:24:02.304, 24.75 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:24:02.321, 24.24 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:25:02.326, 24.76 W, 44, 3 %, 6061 MiB
1, 2023/05/16 00:25:02.330, 24.14 W, 42, 0 %, 24 MiB
0, 2023/05/16 00:26:02.340, 24.66 W, 44, 0 %, 6061 MiB
1, 2023/05/16 00:26:02.346, 24.04 W, 42, 0 %, 24 MiB
