index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/20 00:39:01.332, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:39:01.333, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:40:01.335, 21.93 W, 29, 0 %, 5 MiB
1, 2023/03/20 00:40:01.336, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:41:01.338, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:41:01.339, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:42:01.341, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:42:01.342, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:43:01.344, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:43:01.345, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:44:01.347, 21.84 W, 29, 0 %, 5 MiB
1, 2023/03/20 00:44:01.348, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:45:01.350, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:45:01.351, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:46:01.353, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:46:01.354, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:47:01.356, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:47:01.357, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:48:01.359, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:48:01.360, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:49:01.362, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:49:01.363, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:50:01.365, 22.03 W, 29, 0 %, 5 MiB
1, 2023/03/20 00:50:01.366, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:51:01.368, 21.93 W, 29, 0 %, 5 MiB
1, 2023/03/20 00:51:01.369, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:52:01.371, 21.84 W, 29, 0 %, 5 MiB
1, 2023/03/20 00:52:01.372, 1.16 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:53:01.374, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:53:01.375, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:54:01.377, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:54:01.378, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:55:01.380, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:55:01.382, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:56:01.383, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:56:01.385, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:57:01.386, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:57:01.388, 1.07 W, 34, 0 %, 21 MiB
