index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/17 00:39:02.431, 24.66 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:39:02.436, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:40:02.440, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:40:02.443, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:41:02.458, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:41:02.464, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:42:02.487, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:42:02.504, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:43:02.528, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:43:02.542, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:44:02.568, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:44:02.571, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:45:02.594, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:45:02.607, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:46:02.630, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:46:02.639, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:47:02.661, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:47:02.686, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:48:02.704, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:48:02.722, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:49:02.741, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:49:02.754, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:50:02.774, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:50:02.781, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:51:02.800, 24.84 W, 45, 0 %, 0 MiB
