gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/08/17 00:00:01.717, 417.45 W, 71, 99 %, 19206 MiB
0, 2023/08/17 00:01:01.731, 309.10 W, 70, 72 %, 19206 MiB
0, 2023/08/17 00:02:01.733, 417.47 W, 70, 100 %, 19206 MiB
0, 2023/08/17 00:03:01.734, 387.03 W, 70, 94 %, 19206 MiB
0, 2023/08/17 00:04:01.736, 226.05 W, 69, 100 %, 19206 MiB
0, 2023/08/17 00:05:01.737, 427.23 W, 71, 100 %, 19206 MiB
0, 2023/08/17 00:06:01.739, 387.13 W, 71, 94 %, 19206 MiB
0, 2023/08/17 00:07:01.741, 417.58 W, 70, 69 %, 19206 MiB
0, 2023/08/17 00:08:01.742, 414.96 W, 70, 92 %, 19206 MiB
0, 2023/08/17 00:09:01.744, 236.91 W, 68, 74 %, 19206 MiB
0, 2023/08/17 00:10:01.746, 413.43 W, 70, 100 %, 19206 MiB
0, 2023/08/17 00:11:01.748, 373.90 W, 70, 97 %, 19206 MiB
0, 2023/08/17 00:12:01.749, 421.96 W, 70, 100 %, 19206 MiB
0, 2023/08/17 00:13:01.751, 412.88 W, 71, 96 %, 19206 MiB
0, 2023/08/17 00:14:01.753, 418.15 W, 70, 70 %, 19206 MiB
0, 2023/08/17 00:15:01.755, 399.86 W, 70, 89 %, 19206 MiB
0, 2023/08/17 00:16:01.765, 415.46 W, 70, 73 %, 19206 MiB
0, 2023/08/17 00:17:01.769, 418.23 W, 70, 99 %, 19206 MiB
0, 2023/08/17 00:18:01.771, 412.83 W, 70, 97 %, 19206 MiB
0, 2023/08/17 00:19:01.772, 412.04 W, 70, 92 %, 19206 MiB
0, 2023/08/17 00:20:01.775, 298.17 W, 68, 80 %, 19206 MiB
0, 2023/08/17 00:21:01.777, 419.09 W, 70, 93 %, 19206 MiB
0, 2023/08/17 00:22:01.779, 425.03 W, 70, 75 %, 19206 MiB
0, 2023/08/17 00:23:01.781, 433.32 W, 71, 99 %, 19206 MiB
0, 2023/08/17 00:24:01.783, 326.14 W, 67, 100 %, 19206 MiB
0, 2023/08/17 00:25:01.784, 396.87 W, 70, 98 %, 19206 MiB
0, 2023/08/17 00:26:01.786, 419.61 W, 69, 97 %, 19206 MiB
0, 2023/08/17 00:27:01.788, 408.00 W, 70, 99 %, 19206 MiB
0, 2023/08/17 00:28:01.790, 432.36 W, 71, 100 %, 19206 MiB
0, 2023/08/17 00:29:01.792, 424.31 W, 70, 100 %, 19206 MiB
0, 2023/08/17 00:30:01.794, 391.56 W, 70, 96 %, 19206 MiB
0, 2023/08/17 00:31:01.795, 415.01 W, 70, 84 %, 19206 MiB
0, 2023/08/17 00:32:01.797, 391.99 W, 70, 94 %, 19206 MiB
0, 2023/08/17 00:33:01.798, 392.89 W, 70, 76 %, 19206 MiB
0, 2023/08/17 00:34:01.800, 418.77 W, 70, 97 %, 19206 MiB
0, 2023/08/17 00:35:01.803, 275.33 W, 69, 100 %, 19206 MiB
0, 2023/08/17 00:36:01.805, 416.85 W, 70, 97 %, 19206 MiB
0, 2023/08/17 00:37:01.815, 416.79 W, 70, 74 %, 19206 MiB
0, 2023/08/17 00:38:01.820, 405.57 W, 70, 91 %, 19206 MiB
0, 2023/08/17 00:39:01.823, 398.76 W, 67, 93 %, 19206 MiB
0, 2023/08/17 00:40:01.825, 415.31 W, 70, 100 %, 19206 MiB
0, 2023/08/17 00:41:01.827, 387.67 W, 70, 93 %, 19206 MiB
0, 2023/08/17 00:42:01.828, 418.42 W, 70, 84 %, 19206 MiB
0, 2023/08/17 00:43:01.830, 430.21 W, 69, 99 %, 19206 MiB
0, 2023/08/17 00:44:01.832, 394.35 W, 71, 96 %, 19206 MiB
0, 2023/08/17 00:45:01.833, 411.58 W, 70, 96 %, 19206 MiB
0, 2023/08/17 00:46:01.835, 385.87 W, 69, 93 %, 19206 MiB
0, 2023/08/17 00:47:01.836, 382.16 W, 70, 97 %, 19206 MiB
0, 2023/08/17 00:48:01.838, 446.16 W, 71, 100 %, 19206 MiB
0, 2023/08/17 00:49:01.840, 420.05 W, 70, 71 %, 19206 MiB
0, 2023/08/17 00:50:01.841, 405.40 W, 70, 99 %, 19206 MiB
0, 2023/08/17 00:51:01.843, 393.22 W, 70, 94 %, 19206 MiB
0, 2023/08/17 00:52:01.845, 418.17 W, 70, 72 %, 19206 MiB
0, 2023/08/17 00:53:01.847, 431.72 W, 71, 99 %, 19206 MiB
0, 2023/08/17 00:54:01.848, 377.12 W, 70, 94 %, 19206 MiB
0, 2023/08/17 00:55:01.850, 447.77 W, 68, 96 %, 19206 MiB
0, 2023/08/17 00:56:01.853, 415.18 W, 70, 100 %, 19206 MiB
0, 2023/08/17 00:57:01.854, 415.63 W, 70, 93 %, 19206 MiB
0, 2023/08/17 00:58:01.856, 409.77 W, 70, 99 %, 19206 MiB
0, 2023/08/17 00:59:01.866, 418.80 W, 70, 93 %, 19206 MiB
0, 2023/08/17 01:00:01.868, 391.83 W, 70, 97 %, 19206 MiB
0, 2023/08/17 01:01:01.870, 220.91 W, 69, 100 %, 19206 MiB
0, 2023/08/17 01:02:01.871, 406.45 W, 70, 100 %, 19206 MiB
0, 2023/08/17 01:03:01.873, 412.11 W, 70, 94 %, 19206 MiB
0, 2023/08/17 01:04:01.874, 387.03 W, 70, 95 %, 19206 MiB
0, 2023/08/17 01:05:01.875, 393.20 W, 69, 97 %, 19206 MiB
0, 2023/08/17 01:06:01.877, 380.37 W, 70, 71 %, 19206 MiB
0, 2023/08/17 01:07:01.883, 406.76 W, 70, 99 %, 19206 MiB
0, 2023/08/17 01:08:01.884, 405.07 W, 69, 91 %, 19206 MiB
0, 2023/08/17 01:09:01.885, 394.43 W, 71, 97 %, 19206 MiB
0, 2023/08/17 01:10:01.887, 341.65 W, 70, 80 %, 19206 MiB
0, 2023/08/17 01:11:01.889, 416.73 W, 70, 90 %, 19206 MiB
0, 2023/08/17 01:12:01.891, 409.64 W, 70, 97 %, 19206 MiB
0, 2023/08/17 01:13:01.893, 439.57 W, 69, 96 %, 19206 MiB
0, 2023/08/17 01:14:01.894, 413.94 W, 70, 72 %, 19206 MiB
0, 2023/08/17 01:15:01.896, 405.02 W, 70, 99 %, 19206 MiB
0, 2023/08/17 01:16:01.897, 408.18 W, 70, 99 %, 19206 MiB
0, 2023/08/17 01:17:01.899, 387.65 W, 70, 96 %, 19206 MiB
