gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/03/05 00:00:01.176, 67.37 W, 58, 0 %, 5745 MiB
1, 2024/03/05 00:00:01.180, 1.21 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:01:01.182, 131.86 W, 60, 100 %, 5745 MiB
1, 2024/03/05 00:01:01.183, 1.21 W, 39, 0 %, 84 MiB
0, 2024/03/05 00:02:01.184, 67.69 W, 59, 0 %, 5745 MiB
1, 2024/03/05 00:02:01.185, 1.21 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:03:01.186, 67.85 W, 60, 0 %, 5745 MiB
1, 2024/03/05 00:03:01.187, 1.21 W, 39, 4 %, 78 MiB
0, 2024/03/05 00:04:01.189, 67.65 W, 59, 0 %, 5745 MiB
1, 2024/03/05 00:04:01.189, 1.21 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:05:01.191, 116.74 W, 59, 52 %, 5745 MiB
1, 2024/03/05 00:05:01.194, 1.20 W, 39, 4 %, 78 MiB
0, 2024/03/05 00:06:01.195, 67.56 W, 59, 0 %, 5745 MiB
1, 2024/03/05 00:06:01.197, 1.21 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:07:01.199, 67.18 W, 57, 0 %, 5745 MiB
1, 2024/03/05 00:07:01.200, 1.21 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:08:01.201, 131.67 W, 60, 18 %, 5745 MiB
1, 2024/03/05 00:08:01.207, 1.21 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:09:01.208, 67.53 W, 59, 0 %, 5745 MiB
1, 2024/03/05 00:09:01.209, 1.21 W, 39, 0 %, 84 MiB
0, 2024/03/05 00:10:01.211, 67.49 W, 58, 0 %, 3639 MiB
1, 2024/03/05 00:10:01.212, 1.22 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:11:01.214, 142.13 W, 59, 71 %, 3639 MiB
1, 2024/03/05 00:11:01.215, 1.21 W, 39, 0 %, 84 MiB
0, 2024/03/05 00:12:01.216, 67.46 W, 58, 0 %, 3639 MiB
1, 2024/03/05 00:12:01.220, 1.21 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:13:01.222, 129.38 W, 58, 1 %, 3639 MiB
1, 2024/03/05 00:13:01.223, 1.20 W, 39, 0 %, 78 MiB
0, 2024/03/05 00:14:01.225, 67.08 W, 57, 0 %, 3639 MiB
