gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/12/11 00:00:01.215, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:00:01.217, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:01:01.219, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:01:01.220, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:02:01.222, 22.03 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:02:01.223, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:03:01.225, 22.03 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:03:01.226, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:04:01.228, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:04:01.229, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:05:01.231, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:05:01.232, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:06:01.234, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:06:01.235, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:07:01.237, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:07:01.238, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:08:01.239, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:08:01.241, 1.23 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:09:01.242, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:09:01.244, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:10:01.246, 22.03 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:10:01.247, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:11:01.249, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:11:01.250, 1.24 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:12:01.252, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:12:01.253, 1.11 W, 36, 1 %, 21 MiB
0, 2023/12/11 00:13:01.255, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:13:01.256, 1.10 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:14:01.258, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:14:01.259, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:15:01.261, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:15:01.262, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:16:01.264, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:16:01.265, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:17:01.267, 22.22 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:17:01.268, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:18:01.270, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:18:01.271, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:19:01.273, 21.74 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:19:01.274, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:20:01.276, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:20:01.277, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:21:01.279, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:21:01.280, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:22:01.282, 22.03 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:22:01.283, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:23:01.285, 22.03 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:23:01.286, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:24:01.288, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:24:01.289, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:25:01.291, 21.74 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:25:01.293, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:26:01.294, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:26:01.296, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:27:01.297, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:27:01.299, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:28:01.300, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:28:01.302, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:29:01.303, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:29:01.305, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:30:01.306, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:30:01.308, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:31:01.309, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:31:01.311, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:32:01.313, 21.93 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:32:01.314, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:33:01.316, 21.84 W, 31, 0 %, 5 MiB
1, 2023/12/11 00:33:01.317, 1.11 W, 36, 0 %, 21 MiB
0, 2023/12/11 00:34:01.319, 21.84 W, 31, 0 %, 5 MiB
