gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/01/10 00:00:01.801, 66.64 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:00:01.802, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:01:01.804, 66.54 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:01:01.805, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:02:01.806, 66.55 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:02:01.807, 1.24 W, 41, 0 %, 24 MiB
0, 2024/01/10 00:03:01.809, 66.54 W, 55, 0 %, 458 MiB
1, 2024/01/10 00:03:01.810, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:04:01.812, 66.55 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:04:01.813, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:05:01.814, 66.54 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:05:01.815, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:06:01.817, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:06:01.820, 1.24 W, 41, 0 %, 24 MiB
0, 2024/01/10 00:07:01.821, 66.54 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:07:01.822, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:08:01.824, 66.54 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:08:01.825, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:09:01.827, 66.54 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:09:01.828, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:10:01.830, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:10:01.831, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:11:01.833, 66.64 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:11:01.834, 1.24 W, 41, 0 %, 24 MiB
0, 2024/01/10 00:12:01.835, 66.54 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:12:01.836, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:13:01.838, 66.54 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:13:01.839, 1.24 W, 41, 0 %, 24 MiB
0, 2024/01/10 00:14:01.841, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:14:01.842, 1.23 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:15:01.844, 66.64 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:15:01.845, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:16:01.847, 66.55 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:16:01.847, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:17:01.849, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:17:01.850, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:18:01.852, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:18:01.856, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:19:01.858, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:19:01.859, 1.23 W, 41, 0 %, 24 MiB
0, 2024/01/10 00:20:01.861, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:20:01.867, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:21:01.869, 66.45 W, 54, 0 %, 458 MiB
1, 2024/01/10 00:21:01.869, 1.24 W, 40, 0 %, 24 MiB
0, 2024/01/10 00:22:01.871, 23.58 W, 49, 0 %, 5 MiB
1, 2024/01/10 00:22:01.872, 1.24 W, 41, 0 %, 21 MiB
0, 2024/01/10 00:23:01.874, 22.81 W, 43, 0 %, 5 MiB
1, 2024/01/10 00:23:01.875, 1.23 W, 40, 0 %, 21 MiB
0, 2024/01/10 00:24:01.877, 22.61 W, 40, 0 %, 5 MiB
1, 2024/01/10 00:24:01.878, 1.23 W, 40, 0 %, 21 MiB
0, 2024/01/10 00:25:01.880, 22.81 W, 38, 0 %, 5 MiB
1, 2024/01/10 00:25:01.882, 1.23 W, 40, 0 %, 21 MiB
0, 2024/01/10 00:26:01.883, 22.33 W, 37, 0 %, 5 MiB
1, 2024/01/10 00:26:01.885, 1.22 W, 40, 0 %, 21 MiB
0, 2024/01/10 00:27:01.887, 22.23 W, 37, 0 %, 5 MiB
1, 2024/01/10 00:27:01.888, 1.22 W, 40, 0 %, 21 MiB
0, 2024/01/10 00:28:01.890, 22.42 W, 36, 0 %, 5 MiB
1, 2024/01/10 00:28:01.891, 1.21 W, 40, 0 %, 21 MiB
0, 2024/01/10 00:29:01.893, 22.14 W, 35, 0 %, 5 MiB
1, 2024/01/10 00:29:01.894, 1.21 W, 40, 0 %, 21 MiB
0, 2024/01/10 00:30:01.896, 22.23 W, 35, 0 %, 5 MiB
1, 2024/01/10 00:30:01.897, 1.20 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:31:01.899, 22.33 W, 35, 0 %, 5 MiB
1, 2024/01/10 00:31:01.900, 1.20 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:32:01.901, 22.23 W, 34, 0 %, 5 MiB
1, 2024/01/10 00:32:01.903, 1.20 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:33:01.904, 22.14 W, 34, 0 %, 5 MiB
1, 2024/01/10 00:33:01.906, 1.20 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:34:01.907, 22.04 W, 34, 0 %, 5 MiB
1, 2024/01/10 00:34:01.908, 1.20 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:35:01.910, 22.23 W, 34, 0 %, 5 MiB
1, 2024/01/10 00:35:01.911, 1.19 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:36:01.913, 22.14 W, 34, 0 %, 5 MiB
1, 2024/01/10 00:36:01.914, 1.19 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:37:01.916, 22.14 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:37:01.917, 1.19 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:38:01.919, 22.23 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:38:01.920, 1.19 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:39:01.922, 22.04 W, 34, 0 %, 5 MiB
1, 2024/01/10 00:39:01.923, 1.19 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:40:01.925, 22.14 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:40:01.926, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:41:01.928, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:41:01.929, 1.19 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:42:01.930, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:42:01.932, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:43:01.934, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:43:01.935, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:44:01.936, 21.94 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:44:01.938, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:45:01.939, 22.14 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:45:01.941, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:46:01.942, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:46:01.943, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:47:01.945, 22.13 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:47:01.946, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:48:01.948, 22.13 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:48:01.949, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:49:01.951, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:49:01.952, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:50:01.954, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:50:01.955, 1.17 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:51:01.957, 22.13 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:51:01.958, 1.18 W, 38, 0 %, 21 MiB
0, 2024/01/10 00:52:01.960, 22.33 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:52:01.961, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:53:01.963, 22.23 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:53:01.964, 1.18 W, 38, 0 %, 21 MiB
0, 2024/01/10 00:54:01.965, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:54:01.967, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:55:01.968, 22.14 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:55:01.970, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:56:01.972, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:56:01.973, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:57:01.975, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:57:01.976, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:58:01.978, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:58:01.979, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 00:59:01.980, 21.94 W, 33, 0 %, 5 MiB
1, 2024/01/10 00:59:01.982, 1.17 W, 39, 0 %, 21 MiB
0, 2024/01/10 01:00:01.984, 22.12 W, 33, 0 %, 5 MiB
1, 2024/01/10 01:00:01.985, 1.18 W, 38, 0 %, 21 MiB
0, 2024/01/10 01:01:01.987, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 01:01:01.988, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 01:02:01.990, 22.13 W, 33, 0 %, 5 MiB
1, 2024/01/10 01:02:01.991, 1.18 W, 38, 0 %, 21 MiB
0, 2024/01/10 01:03:01.993, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 01:03:01.994, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 01:04:01.996, 22.14 W, 33, 0 %, 5 MiB
1, 2024/01/10 01:04:01.997, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 01:05:01.999, 22.04 W, 33, 0 %, 5 MiB
1, 2024/01/10 01:05:02.000, 1.18 W, 39, 0 %, 21 MiB
0, 2024/01/10 01:06:02.002, 22.23 W, 33, 0 %, 5 MiB
