gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/06/04 00:00:01.791, 16.82 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:00:01.792, 281.81 W, 86, 90 %, 31778 MiB
0, 2024/06/04 00:01:01.798, 20.99 W, 54, 0 %, 12 MiB
1, 2024/06/04 00:01:01.798, 278.20 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:02:01.799, 19.51 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:02:01.803, 279.23 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:03:01.804, 25.91 W, 54, 0 %, 12 MiB
1, 2024/06/04 00:03:01.804, 273.64 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:04:01.805, 25.19 W, 54, 0 %, 12 MiB
1, 2024/06/04 00:04:01.805, 278.89 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:05:01.806, 17.33 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:05:01.806, 280.82 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:06:01.807, 16.93 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:06:01.808, 280.45 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:07:01.808, 19.17 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:07:01.808, 280.27 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:08:01.809, 18.55 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:08:01.810, 279.25 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:09:01.811, 18.81 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:09:01.811, 274.93 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:10:01.812, 17.57 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:10:01.812, 280.84 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:11:01.813, 17.02 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:11:01.813, 278.60 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:12:01.814, 19.72 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:12:01.819, 283.63 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:13:01.820, 17.38 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:13:01.820, 277.96 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:14:01.821, 17.55 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:14:01.821, 278.23 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:15:01.822, 16.81 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:15:01.822, 278.93 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:16:01.823, 20.91 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:16:01.823, 281.37 W, 86, 90 %, 31778 MiB
0, 2024/06/04 00:17:01.823, 26.08 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:17:01.824, 273.60 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:18:01.825, 25.85 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:18:01.825, 275.38 W, 87, 100 %, 31778 MiB
0, 2024/06/04 00:19:01.826, 16.93 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:19:01.832, 281.34 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:20:01.833, 16.89 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:20:01.833, 279.39 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:21:01.835, 26.09 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:21:01.835, 280.51 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:22:01.837, 16.99 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:22:01.837, 283.00 W, 86, 92 %, 31778 MiB
0, 2024/06/04 00:23:01.838, 16.98 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:23:01.838, 277.98 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:24:01.839, 18.39 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:24:01.839, 284.55 W, 87, 100 %, 31778 MiB
0, 2024/06/04 00:25:01.840, 16.71 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:25:01.841, 279.24 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:26:01.841, 16.89 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:26:01.842, 279.55 W, 86, 89 %, 31778 MiB
0, 2024/06/04 00:27:01.843, 19.32 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:27:01.843, 278.65 W, 86, 92 %, 31778 MiB
0, 2024/06/04 00:28:01.844, 18.85 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:28:01.844, 275.63 W, 86, 95 %, 31778 MiB
0, 2024/06/04 00:29:01.845, 16.95 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:29:01.846, 281.10 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:30:01.846, 18.12 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:30:01.848, 279.25 W, 87, 100 %, 31778 MiB
0, 2024/06/04 00:31:01.849, 25.32 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:31:01.850, 279.06 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:32:01.851, 26.10 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:32:01.851, 279.48 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:33:01.852, 17.57 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:33:01.852, 273.76 W, 86, 93 %, 31778 MiB
0, 2024/06/04 00:34:01.853, 17.03 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:34:01.854, 282.95 W, 86, 99 %, 31778 MiB
0, 2024/06/04 00:35:01.855, 17.09 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:35:01.855, 277.76 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:36:01.856, 26.14 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:36:01.856, 277.66 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:37:01.857, 17.90 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:37:01.857, 276.30 W, 86, 91 %, 31778 MiB
0, 2024/06/04 00:38:01.859, 16.93 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:38:01.860, 274.26 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:39:01.861, 17.28 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:39:01.861, 276.52 W, 87, 86 %, 31778 MiB
0, 2024/06/04 00:40:01.862, 25.66 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:40:01.862, 281.84 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:41:01.864, 17.06 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:41:01.867, 281.16 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:42:01.868, 16.90 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:42:01.868, 284.92 W, 87, 99 %, 31778 MiB
0, 2024/06/04 00:43:01.870, 25.69 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:43:01.870, 274.65 W, 87, 92 %, 31778 MiB
0, 2024/06/04 00:44:01.871, 17.09 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:44:01.871, 278.45 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:45:01.871, 17.12 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:45:01.872, 283.07 W, 86, 93 %, 31778 MiB
0, 2024/06/04 00:46:01.873, 20.56 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:46:01.873, 279.15 W, 87, 88 %, 31778 MiB
0, 2024/06/04 00:47:01.874, 18.33 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:47:01.874, 283.69 W, 86, 99 %, 31778 MiB
0, 2024/06/04 00:48:01.875, 17.33 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:48:01.875, 278.57 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:49:01.876, 17.07 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:49:01.876, 278.49 W, 86, 94 %, 31778 MiB
0, 2024/06/04 00:50:01.877, 17.01 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:50:01.877, 275.52 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:51:01.879, 26.25 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:51:01.879, 266.63 W, 86, 91 %, 31778 MiB
0, 2024/06/04 00:52:01.880, 17.29 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:52:01.880, 266.22 W, 83, 92 %, 31778 MiB
0, 2024/06/04 00:53:01.881, 16.96 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:53:01.882, 260.15 W, 86, 79 %, 31778 MiB
0, 2024/06/04 00:54:01.882, 16.98 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:54:01.882, 268.33 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:55:01.883, 16.92 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:55:01.883, 278.08 W, 87, 98 %, 31778 MiB
0, 2024/06/04 00:56:01.884, 17.21 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:56:01.885, 276.99 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:57:01.886, 26.24 W, 54, 0 %, 12 MiB
1, 2024/06/04 00:57:01.890, 272.20 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:58:01.892, 18.13 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:58:01.894, 277.91 W, 86, 100 %, 31778 MiB
0, 2024/06/04 00:59:01.895, 16.92 W, 53, 0 %, 12 MiB
1, 2024/06/04 00:59:01.899, 286.23 W, 86, 100 %, 31778 MiB
0, 2024/06/04 01:00:01.901, 17.16 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:00:01.901, 277.46 W, 86, 99 %, 31778 MiB
0, 2024/06/04 01:01:01.902, 20.35 W, 54, 0 %, 12 MiB
1, 2024/06/04 01:01:01.902, 279.89 W, 86, 91 %, 31778 MiB
0, 2024/06/04 01:02:01.903, 17.12 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:02:01.903, 280.81 W, 86, 100 %, 31778 MiB
0, 2024/06/04 01:03:01.904, 17.17 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:03:01.904, 279.63 W, 86, 100 %, 31778 MiB
0, 2024/06/04 01:04:01.905, 19.23 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:04:01.906, 283.08 W, 87, 100 %, 31778 MiB
0, 2024/06/04 01:05:01.906, 17.55 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:05:01.912, 283.00 W, 86, 100 %, 31778 MiB
0, 2024/06/04 01:06:01.913, 17.03 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:06:01.913, 278.74 W, 86, 100 %, 31778 MiB
0, 2024/06/04 01:07:01.914, 17.14 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:07:01.914, 282.32 W, 87, 92 %, 31778 MiB
0, 2024/06/04 01:08:01.915, 17.00 W, 53, 0 %, 12 MiB
1, 2024/06/04 01:08:01.916, 277.01 W, 86, 100 %, 31778 MiB
