index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/15 11:44:40.369, 175.82 W, 55, 95 %, 5614 MiB
0, 2023/03/15 11:45:40.370, 174.10 W, 55, 97 %, 5534 MiB
0, 2023/03/15 11:46:40.380, 177.72 W, 56, 79 %, 5414 MiB
0, 2023/03/15 11:47:40.381, 176.72 W, 55, 99 %, 5416 MiB
0, 2023/03/15 11:48:40.383, 177.33 W, 55, 95 %, 5423 MiB
0, 2023/03/15 11:49:40.384, 179.03 W, 56, 100 %, 5430 MiB
0, 2023/03/15 11:50:40.386, 178.59 W, 56, 87 %, 5432 MiB
0, 2023/03/15 11:51:40.387, 169.60 W, 55, 83 %, 5498 MiB
0, 2023/03/15 11:52:40.388, 178.41 W, 55, 85 %, 5541 MiB
0, 2023/03/15 11:53:40.390, 182.80 W, 56, 85 %, 5566 MiB
0, 2023/03/15 11:54:40.391, 175.46 W, 56, 100 %, 5538 MiB
0, 2023/03/15 11:55:40.393, 183.00 W, 56, 92 %, 5551 MiB
0, 2023/03/15 11:56:40.395, 181.26 W, 56, 94 %, 5631 MiB
0, 2023/03/15 11:57:40.396, 178.03 W, 56, 98 %, 5663 MiB
0, 2023/03/15 11:58:40.398, 174.45 W, 56, 76 %, 5614 MiB
0, 2023/03/15 11:59:40.399, 177.55 W, 56, 71 %, 5617 MiB
0, 2023/03/15 12:00:40.401, 179.11 W, 56, 79 %, 5636 MiB
0, 2023/03/15 12:01:40.403, 177.44 W, 56, 91 %, 5500 MiB
0, 2023/03/15 12:02:40.404, 173.49 W, 56, 62 %, 5500 MiB
0, 2023/03/15 12:03:40.406, 175.17 W, 56, 85 %, 5515 MiB
0, 2023/03/15 12:04:40.408, 176.12 W, 56, 67 %, 5426 MiB
0, 2023/03/15 12:05:40.410, 173.52 W, 55, 96 %, 5268 MiB
0, 2023/03/15 12:06:40.412, 175.52 W, 56, 76 %, 5292 MiB
0, 2023/03/15 12:07:40.413, 173.75 W, 56, 85 %, 5357 MiB
0, 2023/03/15 12:08:40.415, 179.08 W, 56, 73 %, 5314 MiB
0, 2023/03/15 12:09:40.416, 181.44 W, 56, 98 %, 4826 MiB
0, 2023/03/15 12:10:40.419, 175.95 W, 56, 99 %, 5371 MiB
0, 2023/03/15 12:11:40.420, 174.51 W, 56, 100 %, 5201 MiB
0, 2023/03/15 12:12:40.421, 178.63 W, 56, 80 %, 5341 MiB
0, 2023/03/15 12:13:40.423, 180.67 W, 56, 100 %, 5312 MiB
0, 2023/03/15 12:14:40.425, 174.12 W, 56, 90 %, 5386 MiB
0, 2023/03/15 12:15:40.427, 174.52 W, 56, 100 %, 5409 MiB
0, 2023/03/15 12:16:40.428, 174.44 W, 55, 77 %, 5389 MiB
0, 2023/03/15 12:17:40.429, 176.63 W, 55, 68 %, 5428 MiB
0, 2023/03/15 12:18:40.431, 176.07 W, 56, 81 %, 5448 MiB
0, 2023/03/15 12:19:40.433, 171.88 W, 55, 75 %, 5448 MiB
0, 2023/03/15 12:20:40.434, 181.80 W, 56, 86 %, 5449 MiB
0, 2023/03/15 12:21:40.436, 177.88 W, 56, 93 %, 5520 MiB
0, 2023/03/15 12:22:40.437, 176.91 W, 56, 87 %, 5522 MiB
0, 2023/03/15 12:23:40.439, 174.51 W, 56, 76 %, 5501 MiB
0, 2023/03/15 12:24:40.440, 181.21 W, 56, 100 %, 5503 MiB
0, 2023/03/15 12:25:40.441, 179.43 W, 56, 88 %, 5396 MiB
0, 2023/03/15 12:26:40.443, 184.15 W, 56, 96 %, 5512 MiB
0, 2023/03/15 12:27:40.444, 173.95 W, 56, 73 %, 5516 MiB
0, 2023/03/15 12:28:40.446, 170.18 W, 56, 58 %, 5400 MiB
0, 2023/03/15 12:29:40.447, 169.93 W, 56, 74 %, 5382 MiB
0, 2023/03/15 12:30:40.448, 171.41 W, 56, 72 %, 5546 MiB
0, 2023/03/15 12:31:40.450, 175.80 W, 56, 83 %, 5574 MiB
0, 2023/03/15 12:32:40.451, 173.94 W, 55, 99 %, 5576 MiB
0, 2023/03/15 12:33:40.453, 176.25 W, 56, 81 %, 5607 MiB
0, 2023/03/15 12:34:40.454, 175.48 W, 56, 92 %, 5585 MiB
0, 2023/03/15 12:35:40.456, 182.87 W, 57, 100 %, 5594 MiB
0, 2023/03/15 12:36:40.458, 175.16 W, 56, 85 %, 5451 MiB
0, 2023/03/15 12:37:40.459, 174.63 W, 56, 88 %, 5369 MiB
0, 2023/03/15 12:38:40.461, 177.44 W, 56, 84 %, 5520 MiB
0, 2023/03/15 12:39:40.463, 174.51 W, 56, 71 %, 5517 MiB
0, 2023/03/15 12:40:40.465, 175.05 W, 56, 75 %, 5636 MiB
0, 2023/03/15 12:41:40.466, 178.33 W, 56, 82 %, 5687 MiB
0, 2023/03/15 12:42:40.467, 176.82 W, 56, 71 %, 5604 MiB
0, 2023/03/15 12:43:40.469, 174.46 W, 56, 86 %, 5614 MiB
0, 2023/03/15 12:44:40.470, 175.49 W, 56, 84 %, 5656 MiB
0, 2023/03/15 12:45:40.473, 176.09 W, 56, 76 %, 5680 MiB
0, 2023/03/15 12:46:40.474, 181.45 W, 56, 100 %, 5694 MiB
0, 2023/03/15 12:47:40.475, 175.32 W, 57, 96 %, 5694 MiB
0, 2023/03/15 12:48:40.477, 178.66 W, 56, 99 %, 5646 MiB
0, 2023/03/15 12:49:40.479, 173.73 W, 56, 81 %, 5650 MiB
0, 2023/03/15 12:50:40.481, 175.84 W, 56, 90 %, 5650 MiB
0, 2023/03/15 12:51:40.482, 179.38 W, 56, 92 %, 5680 MiB
0, 2023/03/15 12:52:40.483, 174.17 W, 56, 100 %, 5698 MiB
0, 2023/03/15 12:53:40.485, 177.01 W, 56, 84 %, 5715 MiB
0, 2023/03/15 12:54:40.495, 178.56 W, 56, 77 %, 5106 MiB
0, 2023/03/15 12:55:40.496, 174.99 W, 56, 80 %, 5611 MiB
0, 2023/03/15 12:56:40.498, 175.45 W, 56, 73 %, 5601 MiB
0, 2023/03/15 12:57:40.499, 172.07 W, 56, 86 %, 5611 MiB
0, 2023/03/15 12:58:40.501, 175.07 W, 56, 91 %, 5576 MiB
0, 2023/03/15 12:59:40.502, 176.36 W, 56, 93 %, 5599 MiB
0, 2023/03/15 13:00:40.503, 178.93 W, 56, 93 %, 5663 MiB
0, 2023/03/15 13:01:40.505, 181.32 W, 56, 92 %, 5669 MiB
0, 2023/03/15 13:02:40.506, 172.92 W, 56, 91 %, 5512 MiB
0, 2023/03/15 13:03:40.507, 172.86 W, 56, 83 %, 5480 MiB
0, 2023/03/15 13:04:40.508, 175.35 W, 55, 77 %, 5633 MiB
0, 2023/03/15 13:05:40.510, 174.07 W, 55, 91 %, 5626 MiB
0, 2023/03/15 13:06:40.511, 178.63 W, 56, 99 %, 5631 MiB
0, 2023/03/15 13:07:40.513, 177.48 W, 56, 89 %, 5631 MiB
0, 2023/03/15 13:08:40.515, 174.95 W, 56, 94 %, 5650 MiB
0, 2023/03/15 13:09:40.516, 175.65 W, 56, 68 %, 5661 MiB
0, 2023/03/15 13:10:40.518, 181.98 W, 57, 92 %, 5697 MiB
0, 2023/03/15 13:11:40.519, 179.23 W, 57, 80 %, 5646 MiB
0, 2023/03/15 13:12:40.520, 180.49 W, 56, 76 %, 5656 MiB
0, 2023/03/15 13:13:40.522, 174.06 W, 56, 80 %, 5461 MiB
0, 2023/03/15 13:14:40.524, 179.68 W, 56, 71 %, 5505 MiB
0, 2023/03/15 13:15:40.526, 175.13 W, 56, 88 %, 5511 MiB
0, 2023/03/15 13:16:40.527, 175.83 W, 56, 84 %, 5507 MiB
0, 2023/03/15 13:17:40.537, 176.18 W, 56, 100 %, 5546 MiB
0, 2023/03/15 13:18:40.539, 177.13 W, 56, 95 %, 5563 MiB
0, 2023/03/15 13:19:40.540, 173.59 W, 56, 100 %, 5548 MiB
0, 2023/03/15 13:20:40.542, 179.14 W, 56, 93 %, 5584 MiB
0, 2023/03/15 13:21:40.543, 182.60 W, 57, 83 %, 5557 MiB
