gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/11/04 00:00:01.367, 23.37 W, 46, 0 %, 5 MiB
1, 2023/11/04 00:00:01.369, 1.16 W, 37, 0 %, 21 MiB
0, 2023/11/04 00:01:01.371, 23.29 W, 47, 0 %, 5 MiB
1, 2023/11/04 00:01:01.372, 2.99 W, 44, 0 %, 21 MiB
0, 2023/11/04 00:02:01.374, 65.00 W, 43, 3 %, 299 MiB
1, 2023/11/04 00:02:01.374, 1.23 W, 41, 0 %, 24 MiB
0, 2023/11/04 00:03:01.376, 147.54 W, 58, 84 %, 5103 MiB
1, 2023/11/04 00:03:01.376, 1.23 W, 40, 0 %, 24 MiB
0, 2023/11/04 00:04:01.378, 67.41 W, 59, 0 %, 5103 MiB
1, 2023/11/04 00:04:01.382, 1.20 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:05:01.384, 154.86 W, 68, 90 %, 5103 MiB
1, 2023/11/04 00:05:01.388, 1.19 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:06:01.391, 68.32 W, 63, 0 %, 5103 MiB
1, 2023/11/04 00:06:01.392, 1.18 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:07:01.393, 149.63 W, 70, 85 %, 5103 MiB
1, 2023/11/04 00:07:01.394, 1.18 W, 38, 0 %, 24 MiB
0, 2023/11/04 00:08:01.396, 68.37 W, 64, 0 %, 5103 MiB
1, 2023/11/04 00:08:01.397, 1.18 W, 38, 0 %, 24 MiB
0, 2023/11/04 00:09:01.399, 124.09 W, 69, 74 %, 5103 MiB
1, 2023/11/04 00:09:01.404, 1.18 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:10:01.406, 68.46 W, 64, 0 %, 5103 MiB
1, 2023/11/04 00:10:01.407, 1.19 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:11:01.409, 147.55 W, 69, 75 %, 5103 MiB
1, 2023/11/04 00:11:01.409, 1.20 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:12:01.410, 68.51 W, 64, 0 %, 5103 MiB
1, 2023/11/04 00:12:01.411, 1.20 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:13:01.412, 105.38 W, 70, 96 %, 5103 MiB
1, 2023/11/04 00:13:01.413, 1.20 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:14:01.414, 150.28 W, 66, 72 %, 5103 MiB
1, 2023/11/04 00:14:01.414, 1.21 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:15:01.416, 130.86 W, 70, 97 %, 5103 MiB
1, 2023/11/04 00:15:01.416, 1.20 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:16:01.418, 145.46 W, 66, 95 %, 5103 MiB
1, 2023/11/04 00:16:01.423, 1.34 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:17:01.425, 149.15 W, 70, 89 %, 5103 MiB
1, 2023/11/04 00:17:01.425, 1.21 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:18:01.427, 141.35 W, 66, 84 %, 5103 MiB
1, 2023/11/04 00:18:01.428, 1.21 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:19:01.430, 127.72 W, 70, 89 %, 5103 MiB
1, 2023/11/04 00:19:01.435, 1.20 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:20:01.437, 147.75 W, 67, 79 %, 5103 MiB
1, 2023/11/04 00:20:01.437, 1.20 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:21:01.439, 69.18 W, 69, 0 %, 5103 MiB
1, 2023/11/04 00:21:01.439, 1.19 W, 39, 0 %, 24 MiB
0, 2023/11/04 00:22:01.441, 68.01 W, 62, 0 %, 489 MiB
