gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/10/27 00:00:01.964, 53.72 W, 62, 100 %, 25565 MiB
1, 2023/10/27 00:00:01.967, 50.28 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:01:01.970, 53.72 W, 62, 0 %, 25565 MiB
1, 2023/10/27 00:01:01.974, 50.96 W, 60, 100 %, 24876 MiB
0, 2023/10/27 00:02:01.976, 38.81 W, 61, 0 %, 25565 MiB
1, 2023/10/27 00:02:01.979, 50.67 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:03:01.982, 53.33 W, 61, 100 %, 25565 MiB
1, 2023/10/27 00:03:01.986, 49.98 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:04:01.989, 53.23 W, 61, 0 %, 25565 MiB
1, 2023/10/27 00:04:01.992, 50.76 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:05:01.997, 198.10 W, 64, 0 %, 25565 MiB
1, 2023/10/27 00:05:02.002, 50.92 W, 60, 100 %, 24876 MiB
0, 2023/10/27 00:06:02.005, 54.10 W, 63, 100 %, 25565 MiB
1, 2023/10/27 00:06:02.009, 50.37 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:07:02.012, 53.91 W, 62, 100 %, 25565 MiB
1, 2023/10/27 00:07:02.015, 49.98 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:08:02.018, 53.62 W, 62, 100 %, 25565 MiB
1, 2023/10/27 00:08:02.021, 49.59 W, 57, 0 %, 24876 MiB
0, 2023/10/27 00:09:02.024, 189.58 W, 63, 92 %, 25565 MiB
1, 2023/10/27 00:09:02.033, 183.05 W, 60, 95 %, 24876 MiB
0, 2023/10/27 00:10:02.038, 53.04 W, 60, 100 %, 25564 MiB
1, 2023/10/27 00:10:02.041, 46.37 W, 56, 0 %, 24876 MiB
0, 2023/10/27 00:11:02.044, 54.30 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:11:02.048, 50.28 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:12:02.051, 53.52 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:12:02.055, 49.98 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:13:02.057, 53.24 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:13:02.060, 50.76 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:14:02.062, 54.30 W, 63, 100 %, 25564 MiB
1, 2023/10/27 00:14:02.068, 50.57 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:15:02.072, 53.63 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:15:02.076, 49.79 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:16:02.078, 169.82 W, 64, 98 %, 25564 MiB
1, 2023/10/27 00:16:02.081, 161.24 W, 61, 94 %, 24876 MiB
0, 2023/10/27 00:17:02.087, 54.11 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:17:02.090, 50.57 W, 60, 0 %, 24876 MiB
0, 2023/10/27 00:18:02.096, 53.72 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:18:02.099, 41.79 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:19:02.102, 53.35 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:19:02.105, 36.34 W, 57, 0 %, 24876 MiB
0, 2023/10/27 00:20:02.111, 53.14 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:20:02.115, 50.08 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:21:02.119, 53.22 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:21:02.123, 183.26 W, 61, 60 %, 24876 MiB
0, 2023/10/27 00:22:02.131, 28.03 W, 57, 0 %, 25564 MiB
1, 2023/10/27 00:22:02.135, 49.20 W, 57, 100 %, 24876 MiB
0, 2023/10/27 00:23:02.138, 28.03 W, 57, 0 %, 25564 MiB
1, 2023/10/27 00:23:02.152, 49.89 W, 57, 100 %, 24876 MiB
0, 2023/10/27 00:24:02.156, 52.56 W, 60, 0 %, 25564 MiB
1, 2023/10/27 00:24:02.160, 50.47 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:25:02.162, 52.27 W, 60, 0 %, 25564 MiB
1, 2023/10/27 00:25:02.167, 50.18 W, 58, 100 %, 24876 MiB
0, 2023/10/27 00:26:02.169, 52.86 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:26:02.174, 50.76 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:27:02.176, 51.50 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:27:02.180, 50.86 W, 60, 100 %, 24876 MiB
0, 2023/10/27 00:28:02.182, 49.85 W, 60, 0 %, 25564 MiB
1, 2023/10/27 00:28:02.186, 50.47 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:29:02.189, 49.56 W, 60, 0 %, 25564 MiB
1, 2023/10/27 00:29:02.192, 50.28 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:30:02.197, 50.43 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:30:02.200, 51.15 W, 60, 100 %, 24876 MiB
0, 2023/10/27 00:31:02.204, 70.21 W, 65, 95 %, 25564 MiB
1, 2023/10/27 00:31:02.207, 91.88 W, 62, 100 %, 24876 MiB
0, 2023/10/27 00:32:02.210, 53.04 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:32:02.213, 50.86 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:33:02.215, 53.24 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:33:02.219, 36.52 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:34:02.221, 153.36 W, 64, 94 %, 25564 MiB
1, 2023/10/27 00:34:02.224, 168.55 W, 61, 95 %, 24876 MiB
0, 2023/10/27 00:35:02.235, 50.22 W, 60, 100 %, 25564 MiB
1, 2023/10/27 00:35:02.239, 158.54 W, 59, 98 %, 24876 MiB
0, 2023/10/27 00:36:02.242, 54.20 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:36:02.245, 50.18 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:37:02.249, 50.82 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:37:02.252, 49.89 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:38:02.256, 53.34 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:38:02.259, 49.79 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:39:02.264, 53.23 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:39:02.267, 46.76 W, 57, 0 %, 24876 MiB
0, 2023/10/27 00:40:02.269, 51.11 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:40:02.273, 50.47 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:41:02.276, 53.72 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:41:02.279, 50.18 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:42:02.283, 53.24 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:42:02.286, 27.16 W, 56, 0 %, 24876 MiB
0, 2023/10/27 00:43:02.300, 55.66 W, 64, 100 %, 25564 MiB
1, 2023/10/27 00:43:02.303, 50.57 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:44:02.306, 53.81 W, 62, 100 %, 25564 MiB
1, 2023/10/27 00:44:02.309, 49.89 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:45:02.311, 159.11 W, 63, 99 %, 25564 MiB
1, 2023/10/27 00:45:02.316, 146.77 W, 60, 99 %, 24876 MiB
0, 2023/10/27 00:46:02.328, 54.79 W, 63, 100 %, 25564 MiB
1, 2023/10/27 00:46:02.331, 50.86 W, 60, 0 %, 24876 MiB
0, 2023/10/27 00:47:02.334, 53.72 W, 61, 100 %, 25564 MiB
1, 2023/10/27 00:47:02.339, 50.18 W, 59, 0 %, 24876 MiB
0, 2023/10/27 00:48:02.342, 53.63 W, 62, 0 %, 25564 MiB
1, 2023/10/27 00:48:02.345, 51.15 W, 60, 0 %, 24876 MiB
0, 2023/10/27 00:49:02.347, 54.21 W, 63, 11 %, 25564 MiB
1, 2023/10/27 00:49:02.351, 36.92 W, 58, 0 %, 24876 MiB
0, 2023/10/27 00:50:02.356, 28.91 W, 59, 0 %, 25564 MiB
1, 2023/10/27 00:50:02.372, 27.84 W, 56, 0 %, 24876 MiB
0, 2023/10/27 00:51:02.385, 38.52 W, 59, 0 %, 25564 MiB
1, 2023/10/27 00:51:02.388, 49.49 W, 57, 0 %, 24876 MiB
0, 2023/10/27 00:52:02.396, 38.04 W, 59, 0 %, 25564 MiB
1, 2023/10/27 00:52:02.399, 50.18 W, 58, 100 %, 24876 MiB
0, 2023/10/27 00:53:02.402, 52.66 W, 60, 0 %, 25564 MiB
1, 2023/10/27 00:53:02.405, 50.37 W, 58, 100 %, 24876 MiB
0, 2023/10/27 00:54:02.408, 52.95 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:54:02.412, 50.76 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:55:02.414, 52.75 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:55:02.421, 50.37 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:56:02.424, 196.29 W, 63, 0 %, 25564 MiB
1, 2023/10/27 00:56:02.433, 50.53 W, 59, 100 %, 24876 MiB
0, 2023/10/27 00:57:02.438, 53.33 W, 62, 0 %, 25564 MiB
1, 2023/10/27 00:57:02.441, 51.25 W, 60, 100 %, 24876 MiB
0, 2023/10/27 00:58:02.445, 53.63 W, 62, 0 %, 25564 MiB
1, 2023/10/27 00:58:02.448, 51.15 W, 60, 100 %, 24876 MiB
0, 2023/10/27 00:59:02.451, 53.05 W, 61, 0 %, 25564 MiB
1, 2023/10/27 00:59:02.454, 50.67 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:00:02.457, 52.75 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:00:02.460, 50.47 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:01:02.463, 38.32 W, 59, 0 %, 25564 MiB
1, 2023/10/27 01:01:02.468, 50.28 W, 58, 100 %, 24876 MiB
0, 2023/10/27 01:02:02.470, 53.05 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:02:02.474, 49.98 W, 59, 0 %, 24876 MiB
0, 2023/10/27 01:03:02.476, 53.62 W, 62, 0 %, 25564 MiB
1, 2023/10/27 01:03:02.480, 52.70 W, 61, 100 %, 24876 MiB
0, 2023/10/27 01:04:02.485, 55.34 W, 64, 99 %, 25564 MiB
1, 2023/10/27 01:04:02.490, 183.47 W, 61, 95 %, 24876 MiB
0, 2023/10/27 01:05:02.500, 52.85 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:05:02.503, 50.37 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:06:02.506, 51.69 W, 62, 100 %, 25564 MiB
1, 2023/10/27 01:06:02.510, 50.47 W, 59, 0 %, 24876 MiB
0, 2023/10/27 01:07:02.517, 169.79 W, 64, 100 %, 25564 MiB
1, 2023/10/27 01:07:02.521, 172.04 W, 61, 100 %, 24876 MiB
0, 2023/10/27 01:08:02.523, 38.33 W, 60, 0 %, 25564 MiB
1, 2023/10/27 01:08:02.527, 50.76 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:09:02.530, 50.63 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:09:02.534, 50.28 W, 59, 0 %, 24876 MiB
0, 2023/10/27 01:10:02.537, 53.53 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:10:02.548, 50.18 W, 59, 0 %, 24876 MiB
0, 2023/10/27 01:11:02.551, 38.90 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:11:02.554, 50.86 W, 60, 100 %, 24876 MiB
0, 2023/10/27 01:12:02.563, 53.05 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:12:02.566, 50.67 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:13:02.570, 160.54 W, 65, 99 %, 25564 MiB
1, 2023/10/27 01:13:02.575, 153.60 W, 62, 99 %, 24876 MiB
0, 2023/10/27 01:14:02.591, 90.93 W, 64, 100 %, 25564 MiB
1, 2023/10/27 01:14:02.595, 109.79 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:15:02.598, 38.71 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:15:02.601, 50.57 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:16:02.604, 95.57 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:16:02.607, 112.32 W, 60, 100 %, 24876 MiB
0, 2023/10/27 01:17:02.615, 53.90 W, 63, 0 %, 25564 MiB
1, 2023/10/27 01:17:02.622, 163.17 W, 62, 98 %, 24876 MiB
0, 2023/10/27 01:18:02.627, 52.85 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:18:02.631, 49.98 W, 59, 0 %, 24876 MiB
0, 2023/10/27 01:19:02.634, 52.95 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:19:02.637, 50.08 W, 58, 0 %, 24876 MiB
0, 2023/10/27 01:20:02.640, 52.27 W, 60, 0 %, 25564 MiB
1, 2023/10/27 01:20:02.644, 50.08 W, 58, 100 %, 24876 MiB
0, 2023/10/27 01:21:02.647, 53.14 W, 61, 0 %, 25564 MiB
1, 2023/10/27 01:21:02.650, 50.76 W, 59, 100 %, 24876 MiB
0, 2023/10/27 01:22:02.653, 154.72 W, 65, 99 %, 25564 MiB
1, 2023/10/27 01:22:02.656, 152.38 W, 61, 98 %, 24876 MiB
0, 2023/10/27 01:23:02.669, 53.53 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:23:02.673, 36.72 W, 58, 0 %, 24876 MiB
0, 2023/10/27 01:24:02.676, 76.58 W, 65, 99 %, 25564 MiB
1, 2023/10/27 01:24:02.683, 72.03 W, 61, 99 %, 24876 MiB
0, 2023/10/27 01:25:02.688, 147.21 W, 65, 100 %, 25564 MiB
1, 2023/10/27 01:25:02.701, 105.91 W, 61, 100 %, 24876 MiB
0, 2023/10/27 01:26:02.706, 181.29 W, 64, 99 %, 25564 MiB
1, 2023/10/27 01:26:02.712, 149.85 W, 60, 99 %, 24876 MiB
0, 2023/10/27 01:27:02.720, 53.62 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:27:02.724, 36.52 W, 57, 0 %, 24876 MiB
0, 2023/10/27 01:28:02.726, 53.43 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:28:02.735, 36.24 W, 57, 0 %, 24876 MiB
0, 2023/10/27 01:29:02.742, 54.96 W, 64, 100 %, 25564 MiB
1, 2023/10/27 01:29:02.746, 50.67 W, 60, 0 %, 24876 MiB
0, 2023/10/27 01:30:02.748, 54.49 W, 63, 100 %, 25564 MiB
1, 2023/10/27 01:30:02.752, 50.18 W, 59, 0 %, 24876 MiB
0, 2023/10/27 01:31:02.754, 53.51 W, 62, 100 %, 25564 MiB
1, 2023/10/27 01:31:02.761, 49.69 W, 58, 0 %, 24876 MiB
0, 2023/10/27 01:32:02.763, 53.24 W, 61, 100 %, 25564 MiB
1, 2023/10/27 01:32:02.767, 46.66 W, 57, 0 %, 24876 MiB
0, 2023/10/27 01:33:02.769, 170.28 W, 65, 99 %, 25564 MiB
1, 2023/10/27 01:33:02.773, 148.30 W, 61, 99 %, 24876 MiB
0, 2023/10/27 01:34:02.777, 53.91 W, 62, 100 %, 25564 MiB
1, 2023/10/27 01:34:02.780, 50.28 W, 59, 0 %, 24876 MiB
0, 2023/10/27 01:35:02.783, 53.53 W, 62, 100 %, 25564 MiB
1, 2023/10/27 01:35:02.786, 36.62 W, 58, 0 %, 24876 MiB
