gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/03/06 00:00:02.026, 133.98 W, 61, 100 %, 3671 MiB
1, 2024/03/06 00:00:02.027, 1.25 W, 41, 0 %, 84 MiB
0, 2024/03/06 00:01:02.029, 67.94 W, 60, 0 %, 3671 MiB
1, 2024/03/06 00:01:02.030, 1.25 W, 41, 0 %, 78 MiB
0, 2024/03/06 00:02:02.032, 137.20 W, 60, 98 %, 3671 MiB
1, 2024/03/06 00:02:02.037, 1.25 W, 41, 0 %, 84 MiB
0, 2024/03/06 00:03:02.039, 67.39 W, 58, 0 %, 3671 MiB
1, 2024/03/06 00:03:02.043, 1.25 W, 41, 0 %, 78 MiB
0, 2024/03/06 00:04:02.045, 67.51 W, 59, 0 %, 3671 MiB
1, 2024/03/06 00:04:02.046, 1.25 W, 41, 0 %, 84 MiB
0, 2024/03/06 00:05:02.048, 67.65 W, 59, 0 %, 3671 MiB
1, 2024/03/06 00:05:02.049, 1.25 W, 41, 0 %, 78 MiB
0, 2024/03/06 00:06:02.050, 141.49 W, 61, 98 %, 3671 MiB
1, 2024/03/06 00:06:02.051, 1.25 W, 41, 0 %, 84 MiB
0, 2024/03/06 00:07:02.053, 145.02 W, 59, 100 %, 3671 MiB
1, 2024/03/06 00:07:02.054, 1.25 W, 41, 0 %, 78 MiB
0, 2024/03/06 00:08:02.056, 67.39 W, 58, 0 %, 3671 MiB
1, 2024/03/06 00:08:02.058, 1.25 W, 41, 0 %, 84 MiB
0, 2024/03/06 00:09:02.060, 67.51 W, 59, 0 %, 3671 MiB
1, 2024/03/06 00:09:02.065, 1.25 W, 41, 0 %, 78 MiB
0, 2024/03/06 00:10:02.067, 67.68 W, 59, 0 %, 3671 MiB
1, 2024/03/06 00:10:02.069, 1.25 W, 41, 0 %, 84 MiB
0, 2024/03/06 00:11:02.070, 67.56 W, 59, 0 %, 3671 MiB
1, 2024/03/06 00:11:02.071, 1.25 W, 41, 0 %, 78 MiB
0, 2024/03/06 00:12:02.072, 118.42 W, 60, 100 %, 3671 MiB
1, 2024/03/06 00:12:02.074, 1.25 W, 41, 0 %, 84 MiB
0, 2024/03/06 00:13:02.076, 67.37 W, 58, 0 %, 3671 MiB
