index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/16 01:17:04.072, 255.67 W, 63, 100 %, 4384 MiB
0, 2023/03/16 01:18:04.074, 258.39 W, 63, 100 %, 4388 MiB
0, 2023/03/16 01:19:04.075, 258.09 W, 63, 100 %, 4385 MiB
0, 2023/03/16 01:20:04.077, 259.47 W, 63, 100 %, 4410 MiB
0, 2023/03/16 01:21:04.078, 257.14 W, 63, 100 %, 4386 MiB
0, 2023/03/16 01:22:04.080, 257.93 W, 63, 100 %, 4387 MiB
0, 2023/03/16 01:23:04.081, 260.83 W, 63, 100 %, 4387 MiB
0, 2023/03/16 01:24:04.082, 255.79 W, 63, 100 %, 4406 MiB
0, 2023/03/16 01:25:04.084, 256.53 W, 63, 100 %, 4381 MiB
0, 2023/03/16 01:26:04.086, 264.11 W, 63, 100 %, 4388 MiB
0, 2023/03/16 01:27:04.088, 262.11 W, 64, 100 %, 4370 MiB
0, 2023/03/16 01:28:04.090, 253.84 W, 63, 100 %, 4344 MiB
0, 2023/03/16 01:29:04.091, 259.52 W, 63, 100 %, 4386 MiB
0, 2023/03/16 01:30:04.092, 255.93 W, 63, 100 %, 4393 MiB
0, 2023/03/16 01:31:04.094, 258.04 W, 64, 100 %, 4346 MiB
0, 2023/03/16 01:32:04.096, 252.60 W, 63, 100 %, 4383 MiB
0, 2023/03/16 01:33:04.098, 258.10 W, 63, 100 %, 4390 MiB
0, 2023/03/16 01:34:04.099, 256.48 W, 63, 100 %, 4390 MiB
0, 2023/03/16 01:35:04.101, 256.94 W, 63, 100 %, 4382 MiB
0, 2023/03/16 01:36:04.102, 256.29 W, 63, 100 %, 4400 MiB
0, 2023/03/16 01:37:04.104, 255.36 W, 63, 100 %, 4407 MiB
0, 2023/03/16 01:38:04.106, 263.25 W, 64, 100 %, 4407 MiB
0, 2023/03/16 01:39:04.107, 259.26 W, 63, 100 %, 4407 MiB
0, 2023/03/16 01:40:04.109, 251.68 W, 63, 100 %, 4407 MiB
0, 2023/03/16 01:41:04.110, 259.38 W, 63, 100 %, 4441 MiB
0, 2023/03/16 01:42:04.112, 258.51 W, 63, 100 %, 4445 MiB
0, 2023/03/16 01:43:04.114, 264.04 W, 63, 100 %, 4449 MiB
0, 2023/03/16 01:44:04.115, 253.97 W, 62, 100 %, 4451 MiB
0, 2023/03/16 01:45:04.117, 254.90 W, 62, 100 %, 4460 MiB
0, 2023/03/16 01:46:04.118, 252.26 W, 62, 100 %, 4477 MiB
0, 2023/03/16 01:47:04.120, 252.77 W, 62, 100 %, 4477 MiB
0, 2023/03/16 01:48:04.122, 257.09 W, 63, 100 %, 4477 MiB
0, 2023/03/16 01:49:04.123, 267.33 W, 64, 100 %, 4383 MiB
0, 2023/03/16 01:50:04.125, 260.98 W, 64, 98 %, 4387 MiB
0, 2023/03/16 01:51:04.126, 265.79 W, 64, 100 %, 4425 MiB
0, 2023/03/16 01:52:04.128, 268.64 W, 64, 100 %, 4425 MiB
0, 2023/03/16 01:53:04.130, 264.62 W, 64, 100 %, 4425 MiB
0, 2023/03/16 01:54:04.131, 264.93 W, 64, 100 %, 4425 MiB
0, 2023/03/16 01:55:04.133, 257.87 W, 63, 100 %, 4441 MiB
0, 2023/03/16 01:56:04.135, 258.10 W, 63, 100 %, 4441 MiB
0, 2023/03/16 01:57:04.137, 252.18 W, 61, 100 %, 4441 MiB
0, 2023/03/16 01:58:04.138, 255.15 W, 62, 100 %, 4441 MiB
0, 2023/03/16 01:59:04.139, 252.39 W, 62, 100 %, 4449 MiB
0, 2023/03/16 02:00:04.141, 254.97 W, 63, 100 %, 4450 MiB
0, 2023/03/16 02:01:04.143, 259.06 W, 64, 100 %, 4450 MiB
0, 2023/03/16 02:02:04.144, 257.93 W, 64, 100 %, 4452 MiB
0, 2023/03/16 02:03:04.146, 254.56 W, 63, 100 %, 4452 MiB
0, 2023/03/16 02:04:04.147, 253.64 W, 63, 100 %, 4452 MiB
0, 2023/03/16 02:05:04.150, 255.91 W, 63, 100 %, 4455 MiB
0, 2023/03/16 02:06:04.152, 255.06 W, 63, 100 %, 4455 MiB
0, 2023/03/16 02:07:04.153, 266.23 W, 64, 100 %, 4425 MiB
0, 2023/03/16 02:08:04.155, 255.57 W, 63, 96 %, 4423 MiB
0, 2023/03/16 02:09:04.156, 260.74 W, 64, 100 %, 4377 MiB
0, 2023/03/16 02:10:04.158, 260.20 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:11:04.159, 261.95 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:12:04.161, 259.69 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:13:04.163, 262.36 W, 63, 100 %, 4379 MiB
0, 2023/03/16 02:14:04.172, 262.13 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:15:04.174, 263.32 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:16:04.176, 265.11 W, 64, 100 %, 4379 MiB
0, 2023/03/16 02:17:04.178, 262.85 W, 64, 100 %, 4364 MiB
0, 2023/03/16 02:18:04.179, 262.97 W, 64, 100 %, 4357 MiB
0, 2023/03/16 02:19:04.181, 255.81 W, 63, 100 %, 4367 MiB
0, 2023/03/16 02:20:04.183, 253.04 W, 63, 97 %, 4405 MiB
0, 2023/03/16 02:21:04.184, 255.75 W, 63, 100 %, 4390 MiB
