gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/04/03 00:00:01.815, 254.01 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:00:01.817, 115.62 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:01:01.819, 255.94 W, 88, 98 %, 37593 MiB
1, 2024/04/03 00:01:01.819, 148.89 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:02:01.820, 229.32 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:02:01.820, 155.54 W, 77, 78 %, 33372 MiB
0, 2024/04/03 00:03:01.822, 229.42 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:03:01.823, 116.47 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:04:01.823, 244.46 W, 88, 97 %, 37593 MiB
1, 2024/04/03 00:04:01.823, 154.58 W, 77, 87 %, 33372 MiB
0, 2024/04/03 00:05:01.832, 249.02 W, 87, 98 %, 37593 MiB
1, 2024/04/03 00:05:01.832, 115.99 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:06:01.833, 240.42 W, 88, 100 %, 37593 MiB
1, 2024/04/03 00:06:01.833, 155.98 W, 76, 71 %, 33372 MiB
0, 2024/04/03 00:07:01.834, 233.94 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:07:01.834, 116.05 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:08:01.836, 235.08 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:08:01.836, 139.99 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:09:01.837, 249.66 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:09:01.837, 129.44 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:10:01.838, 251.55 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:10:01.838, 115.93 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:11:01.839, 230.13 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:11:01.840, 128.58 W, 79, 75 %, 33372 MiB
0, 2024/04/03 00:12:01.840, 243.27 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:12:01.840, 116.29 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:13:01.841, 242.00 W, 88, 100 %, 37593 MiB
1, 2024/04/03 00:13:01.841, 131.56 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:14:01.842, 246.30 W, 88, 100 %, 37593 MiB
1, 2024/04/03 00:14:01.842, 115.75 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:15:01.843, 259.85 W, 88, 100 %, 37593 MiB
1, 2024/04/03 00:15:01.846, 155.20 W, 76, 96 %, 33372 MiB
0, 2024/04/03 00:16:01.847, 227.45 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:16:01.847, 116.13 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:17:01.848, 232.94 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:17:01.851, 116.55 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:18:01.852, 244.92 W, 88, 100 %, 37593 MiB
1, 2024/04/03 00:18:01.852, 195.19 W, 77, 100 %, 33372 MiB
0, 2024/04/03 00:19:01.853, 249.63 W, 88, 100 %, 37593 MiB
1, 2024/04/03 00:19:01.853, 122.69 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:20:01.853, 241.99 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:20:01.855, 154.92 W, 76, 93 %, 33372 MiB
0, 2024/04/03 00:21:01.855, 234.74 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:21:01.855, 115.83 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:22:01.857, 245.75 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:22:01.857, 116.49 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:23:01.857, 232.24 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:23:01.857, 125.04 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:24:01.858, 254.75 W, 87, 100 %, 37593 MiB
1, 2024/04/03 00:24:01.859, 147.09 W, 76, 100 %, 33372 MiB
0, 2024/04/03 00:25:01.860, 247.08 W, 88, 100 %, 37593 MiB
