gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/10/19 00:00:01.410, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:00:01.411, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:01:01.413, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:01:01.414, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:02:01.416, 21.74 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:02:01.418, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:03:01.419, 21.74 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:03:01.420, 1.09 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:04:01.422, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:04:01.423, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:05:01.425, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:05:01.426, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:06:01.427, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:06:01.429, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:07:01.430, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:07:01.431, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:08:01.433, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:08:01.434, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:09:01.436, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:09:01.437, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:10:01.439, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:10:01.440, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:11:01.441, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:11:01.442, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:12:01.445, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:12:01.446, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:13:01.448, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:13:01.452, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:14:01.454, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:14:01.455, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:15:01.457, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:15:01.458, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:16:01.460, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:16:01.464, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:17:01.466, 22.03 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:17:01.467, 1.29 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:18:01.469, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:18:01.470, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:19:01.472, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:19:01.473, 1.09 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:20:01.475, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:20:01.476, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:21:01.477, 21.93 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:21:01.478, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:22:01.480, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:22:01.481, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:23:01.482, 21.65 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:23:01.483, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:24:01.484, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:24:01.485, 1.12 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:25:01.487, 21.74 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:25:01.488, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:26:01.490, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:26:01.491, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:27:01.493, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:27:01.495, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:28:01.497, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:28:01.498, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:29:01.499, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:29:01.500, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:30:01.502, 21.93 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:30:01.503, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:31:01.505, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:31:01.506, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:32:01.509, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:32:01.510, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:33:01.512, 21.93 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:33:01.513, 1.09 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:34:01.515, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:34:01.516, 1.12 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:35:01.518, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:35:01.520, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:36:01.522, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:36:01.523, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:37:01.525, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:37:01.526, 1.40 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:38:01.528, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:38:01.529, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:39:01.532, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:39:01.533, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:40:01.535, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:40:01.536, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:41:01.538, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:41:01.539, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:42:01.541, 22.03 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:42:01.543, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:43:01.544, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:43:01.545, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:44:01.546, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:44:01.547, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:45:01.549, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:45:01.551, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:46:01.552, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:46:01.553, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:47:01.554, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:47:01.556, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:48:01.557, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:48:01.558, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:49:01.559, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:49:01.560, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:50:01.563, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:50:01.564, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:51:01.565, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:51:01.566, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:52:01.568, 21.74 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:52:01.570, 1.08 W, 34, 0 %, 75 MiB
0, 2024/10/19 00:53:01.571, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:53:01.572, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:54:01.574, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:54:01.575, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:55:01.577, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:55:01.578, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:56:01.580, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:56:01.581, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:57:01.583, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:57:01.584, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 00:58:01.586, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 00:58:01.588, 1.09 W, 35, 0 %, 75 MiB
0, 2024/10/19 00:59:01.590, 22.03 W, 29, 0 %, 5 MiB
1, 2024/10/19 00:59:01.591, 1.09 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:00:01.593, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:00:01.594, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:01:01.596, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:01:01.597, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:02:01.599, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:02:01.600, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:03:01.602, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:03:01.603, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:04:01.606, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:04:01.607, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:05:01.608, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:05:01.609, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:06:01.611, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:06:01.613, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:07:01.614, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:07:01.615, 1.15 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:08:01.617, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:08:01.618, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:09:01.619, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:09:01.620, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:10:01.622, 21.93 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:10:01.624, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:11:01.626, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:11:01.627, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:12:01.629, 21.93 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:12:01.631, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:13:01.633, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:13:01.634, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:14:01.636, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:14:01.637, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:15:01.639, 21.93 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:15:01.640, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:16:01.642, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:16:01.643, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:17:01.644, 21.84 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:17:01.646, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:18:01.648, 22.03 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:18:01.649, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:19:01.651, 22.03 W, 29, 0 %, 5 MiB
1, 2024/10/19 01:19:01.652, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:20:01.655, 21.74 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:20:01.656, 1.08 W, 35, 0 %, 75 MiB
0, 2024/10/19 01:21:01.658, 21.84 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:21:01.659, 1.08 W, 35, 0 %, 81 MiB
0, 2024/10/19 01:22:01.660, 21.65 W, 30, 0 %, 5 MiB
1, 2024/10/19 01:22:01.661, 1.08 W, 35, 0 %, 75 MiB
